Protein	Genome ID,,Description,,# HIT
P73273	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P73274	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P73282	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P73290	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P73292	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P73294	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P73299	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P73304	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P73305	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P73307	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P73308	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P73314	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P73315	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P73317	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P73318	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P73321	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P73334	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P73370	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P73374	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P73375	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P73376	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P73380	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P73393	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P73404	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P73409	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P73411	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P73412	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P73418	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P73419	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P73451	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P73452	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P73455	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P73458	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P73469	N/A,,N/A,,N/A
P73487	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P73488	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P73501	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P73505	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P73530	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P73534	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P73545	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P73552	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P73553	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P73563	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P73580	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P73581	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P73583	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P73589	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P73592	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P73596	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P73597	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P73607	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P73609	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P73617	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P73632	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P73648	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P73652	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P73654	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P73701	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P73704	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P73705	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P73707	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P73721	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P73722	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P73728	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P73736	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P73746	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P73755	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P73765	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P73801	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P73810	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P73821	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P73823	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P73824	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P73826	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P73833	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P73834	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P73849	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P73866	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P73867	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P73876	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P73886	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P73922	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P73926	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P73930	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P73933	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P73953	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P73954	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P73960	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P73973	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P73982	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P73985	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P73998	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74002	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74007	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74020	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74027	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74044	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74057	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74074	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74078	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74102	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74106	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74122	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74126	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74135	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74142	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74153	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74157	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74175	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74176	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74182	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74184	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74186	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74189	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74195	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74210	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74214	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74216	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74226	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74227	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74229	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74230	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74233	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74236	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74241	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74242	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74251	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74275	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74281	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74282	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74296	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74297	N/A,,N/A,,N/A
P74299	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74305	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74308	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74309	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74314	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74326	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74334	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74335	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74339	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74350	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74352	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74360	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74361	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74390	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74409	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74413	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74419	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74421	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74426	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74427	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74433	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74444	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74447	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74448	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74450	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74451	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74457	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74461	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74463	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74466	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74474	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74485	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74486	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74494	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74499	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74503	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74507	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74510	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74512	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74518	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74534	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74537	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74541	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74551	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74566	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74572	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74582	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74618	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74640	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74643	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74658	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74662	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74667	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74682	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74689	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74690	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74694	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74698	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74702	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74713	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74720	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74729	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74737	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74739	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74745	N/A,,N/A,,N/A
P74747	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74749	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74754	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74769	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74772	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74776	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P74781	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P75033	U00089,,Tenericutes : Mycoplasma pneumoniae M129,,36 sequence(s)
P75039	U00089,,Tenericutes : Mycoplasma pneumoniae M129,,36 sequence(s)
P75049	U00089,,Tenericutes : Mycoplasma pneumoniae M129,,36 sequence(s)
P75050	U00089,,Tenericutes : Mycoplasma pneumoniae M129,,36 sequence(s)
P75061	U00089,,Tenericutes : Mycoplasma pneumoniae M129,,36 sequence(s)
P75080	U00089,,Tenericutes : Mycoplasma pneumoniae M129,,36 sequence(s)
P75089	U00089,,Tenericutes : Mycoplasma pneumoniae M129,,36 sequence(s)
P75090	U00089,,Tenericutes : Mycoplasma pneumoniae M129,,36 sequence(s)
P75093	U00089,,Tenericutes : Mycoplasma pneumoniae M129,,36 sequence(s)
P75120	U00089,,Tenericutes : Mycoplasma pneumoniae M129,,36 sequence(s)
P75136	U00089,,Tenericutes : Mycoplasma pneumoniae M129,,36 sequence(s)
P75159	U00089,,Tenericutes : Mycoplasma pneumoniae M129,,36 sequence(s)
P75161	U00089,,Tenericutes : Mycoplasma pneumoniae M129,,36 sequence(s)
P75170	U00089,,Tenericutes : Mycoplasma pneumoniae M129,,36 sequence(s)
P75172	U00089,,Tenericutes : Mycoplasma pneumoniae M129,,36 sequence(s)
P75187	U00089,,Tenericutes : Mycoplasma pneumoniae M129,,36 sequence(s)
P75205	U00089,,Tenericutes : Mycoplasma pneumoniae M129,,36 sequence(s)
P75206	U00089,,Tenericutes : Mycoplasma pneumoniae M129,,36 sequence(s)
P75207	U00089,,Tenericutes : Mycoplasma pneumoniae M129,,36 sequence(s)
P75223	U00089,,Tenericutes : Mycoplasma pneumoniae M129,,36 sequence(s)
P75231	U00089,,Tenericutes : Mycoplasma pneumoniae M129,,36 sequence(s)
P75245	U00089,,Tenericutes : Mycoplasma pneumoniae M129,,36 sequence(s)
P75250	U00089,,Tenericutes : Mycoplasma pneumoniae M129,,36 sequence(s)
P75258	U00089,,Tenericutes : Mycoplasma pneumoniae M129,,36 sequence(s)
P75264	U00089,,Tenericutes : Mycoplasma pneumoniae M129,,36 sequence(s)
P75271	U00089,,Tenericutes : Mycoplasma pneumoniae M129,,36 sequence(s)
P75277	U00089,,Tenericutes : Mycoplasma pneumoniae M129,,36 sequence(s)
P75293	U00089,,Tenericutes : Mycoplasma pneumoniae M129,,36 sequence(s)
P75301	U00089,,Tenericutes : Mycoplasma pneumoniae M129,,36 sequence(s)
P75309	U00089,,Tenericutes : Mycoplasma pneumoniae M129,,36 sequence(s)
P75310	U00089,,Tenericutes : Mycoplasma pneumoniae M129,,36 sequence(s)
P75313	U00089,,Tenericutes : Mycoplasma pneumoniae M129,,36 sequence(s)
P75344	U00089,,Tenericutes : Mycoplasma pneumoniae M129,,36 sequence(s)
P75353	U00089,,Tenericutes : Mycoplasma pneumoniae M129,,36 sequence(s)
P75354	U00089,,Tenericutes : Mycoplasma pneumoniae M129,,36 sequence(s)
P75358	U00089,,Tenericutes : Mycoplasma pneumoniae M129,,36 sequence(s)
P75359	U00089,,Tenericutes : Mycoplasma pneumoniae M129,,36 sequence(s)
P75376	U00089,,Tenericutes : Mycoplasma pneumoniae M129,,36 sequence(s)
P75386	U00089,,Tenericutes : Mycoplasma pneumoniae M129,,36 sequence(s)
P75390	U00089,,Tenericutes : Mycoplasma pneumoniae M129,,36 sequence(s)
P75393	U00089,,Tenericutes : Mycoplasma pneumoniae M129,,36 sequence(s)
P75394	U00089,,Tenericutes : Mycoplasma pneumoniae M129,,36 sequence(s)
P75426	U00089,,Tenericutes : Mycoplasma pneumoniae M129,,36 sequence(s)
P75465	U00089,,Tenericutes : Mycoplasma pneumoniae M129,,36 sequence(s)
P75469	U00089,,Tenericutes : Mycoplasma pneumoniae M129,,36 sequence(s)
P75470	U00089,,Tenericutes : Mycoplasma pneumoniae M129,,36 sequence(s)
P75482	U00089,,Tenericutes : Mycoplasma pneumoniae M129,,36 sequence(s)
P75493	U00089,,Tenericutes : Mycoplasma pneumoniae M129,,36 sequence(s)
P75497	U00089,,Tenericutes : Mycoplasma pneumoniae M129,,36 sequence(s)
P75512	N/A,,N/A,,N/A
P75518	U00089,,Tenericutes : Mycoplasma pneumoniae M129,,36 sequence(s)
P75525	U00089,,Tenericutes : Mycoplasma pneumoniae M129,,36 sequence(s)
P75526	U00089,,Tenericutes : Mycoplasma pneumoniae M129,,36 sequence(s)
P75533	U00089,,Tenericutes : Mycoplasma pneumoniae M129,,36 sequence(s)
P75542	U00089,,Tenericutes : Mycoplasma pneumoniae M129,,36 sequence(s)
P75543	U00089,,Tenericutes : Mycoplasma pneumoniae M129,,36 sequence(s)
P75560	U00089,,Tenericutes : Mycoplasma pneumoniae M129,,36 sequence(s)
P75569	U00089,,Tenericutes : Mycoplasma pneumoniae M129,,36 sequence(s)
P75575	U00089,,Tenericutes : Mycoplasma pneumoniae M129,,36 sequence(s)
P75591	U00089,,Tenericutes : Mycoplasma pneumoniae M129,,36 sequence(s)
P75691	N/A,,N/A,,N/A
P75694	U00096,,Gammaproteobacteria : Escherichia coli K-12,,86 sequence(s)
P75736	U00096,,Gammaproteobacteria : Escherichia coli K-12,,86 sequence(s)
P75809	U00096,,Gammaproteobacteria : Escherichia coli K-12,,86 sequence(s)
P75818	U00096,,Gammaproteobacteria : Escherichia coli K-12,,86 sequence(s)
P75821	U00096,,Gammaproteobacteria : Escherichia coli K-12,,86 sequence(s)
P75949	U00096,,Gammaproteobacteria : Escherichia coli K-12,,86 sequence(s)
P76001	U00096,,Gammaproteobacteria : Escherichia coli K-12,,86 sequence(s)
P76014	U00096,,Gammaproteobacteria : Escherichia coli K-12,,86 sequence(s)
P76015	U00096,,Gammaproteobacteria : Escherichia coli K-12,,86 sequence(s)
P76072	U00096,,Gammaproteobacteria : Escherichia coli K-12,,86 sequence(s)
P76143	U00096,,Gammaproteobacteria : Escherichia coli K-12,,86 sequence(s)
P76182	U00096,,Gammaproteobacteria : Escherichia coli K-12,,86 sequence(s)
P76194	U00096,,Gammaproteobacteria : Escherichia coli K-12,,86 sequence(s)
P76268	U00096,,Gammaproteobacteria : Escherichia coli K-12,,86 sequence(s)
P76290	U00096,,Gammaproteobacteria : Escherichia coli K-12,,86 sequence(s)
P76387	N/A,,N/A,,N/A
P76396	U00096,,Gammaproteobacteria : Escherichia coli K-12,,86 sequence(s)
P76398	N/A,,N/A,,N/A
P76402	U00096,,Gammaproteobacteria : Escherichia coli K-12,,86 sequence(s)
P76536	U00096,,Gammaproteobacteria : Escherichia coli K-12,,86 sequence(s)
P76541	U00096,,Gammaproteobacteria : Escherichia coli K-12,,86 sequence(s)
P76552	U00096,,Gammaproteobacteria : Escherichia coli K-12,,86 sequence(s)
P76558	U00096,,Gammaproteobacteria : Escherichia coli K-12,,86 sequence(s)
P76576	U00096,,Gammaproteobacteria : Escherichia coli K-12,,86 sequence(s)
P77172	U00096,,Gammaproteobacteria : Escherichia coli K-12,,86 sequence(s)
P77173	N/A,,N/A,,N/A
P77285	U00096,,Gammaproteobacteria : Escherichia coli K-12,,86 sequence(s)
P77318	U00096,,Gammaproteobacteria : Escherichia coli K-12,,86 sequence(s)
P77365	N/A,,N/A,,N/A
P77376	U00096,,Gammaproteobacteria : Escherichia coli K-12,,86 sequence(s)
P77395	N/A,,N/A,,N/A
P77402	U00096,,Gammaproteobacteria : Escherichia coli K-12,,86 sequence(s)
P77504	N/A,,N/A,,N/A
P77510	N/A,,N/A,,N/A
P77522	U00096,,Gammaproteobacteria : Escherichia coli K-12,,86 sequence(s)
P77552	N/A,,N/A,,N/A
P77554	N/A,,N/A,,N/A
P77598	N/A,,N/A,,N/A
P77625	U00096,,Gammaproteobacteria : Escherichia coli K-12,,86 sequence(s)
P77627	N/A,,N/A,,N/A
P77650	N/A,,N/A,,N/A
P77674	U00096,,Gammaproteobacteria : Escherichia coli K-12,,86 sequence(s)
P77756	N/A,,N/A,,N/A
P77804	N/A,,N/A,,N/A
P77961	N/A,,N/A,,N/A
P77962	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P77965	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P77968	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P77970	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P77972	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P77973	BA000022,,Cyanobacteria : Synechocystis sp. PCC 6803,,42 sequence(s)
P78010	U00089,,Tenericutes : Mycoplasma pneumoniae M129,,36 sequence(s)
P78012	U00089,,Tenericutes : Mycoplasma pneumoniae M129,,36 sequence(s)
P78018	U00089,,Tenericutes : Mycoplasma pneumoniae M129,,36 sequence(s)
P78022	U00089,,Tenericutes : Mycoplasma pneumoniae M129,,36 sequence(s)
P78027	U00089,,Tenericutes : Mycoplasma pneumoniae M129,,36 sequence(s)
P78028	U00089,,Tenericutes : Mycoplasma pneumoniae M129,,36 sequence(s)
P78032	U00089,,Tenericutes : Mycoplasma pneumoniae M129,,36 sequence(s)
P78285	N/A,,N/A,,N/A
P80046	N/A,,N/A,,N/A
P80239	N/A,,N/A,,N/A
P80240	AL009126,,Firmicutes : Bacillus subtilis subsp. subtilis str. 168,,85 sequence(s)
P80244	N/A,,N/A,,N/A
P80505	N/A,,N/A,,N/A
P80507	N/A,,N/A,,N/A
P80643	N/A,,N/A,,N/A
P80698	N/A,,N/A,,N/A
P80700	AL009126,,Firmicutes : Bacillus subtilis subsp. subtilis str. 168,,85 sequence(s)
