Protein	Strain,,Genomic location,,Charge (pH 7),,Kyte-Doolittle Hydrophobicity Value,,Molecular Weight (kDa),,Isoelectric Point (pI)
P72641	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P72648	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P72655	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P72656	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P72659	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P72661	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P72673	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P72674	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P72689	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P72697	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P72705	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P72706	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P72721	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P72723	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P72738	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P72746	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P72747	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P72748	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P72756	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P72757	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P72758	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P72760	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P72761	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P72781	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P72788	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P72791	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P72797	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P72805	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P72815	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P72827	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P72835	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P72845	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P72849	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P72854	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P72864	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P72866	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P72870	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P72871	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P72877	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P72878	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P72884	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P72899	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P72932	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P72937	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P72940	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P72954	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P72965	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P72990	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P72998	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73008	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73010	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73020	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73035	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73040	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73053	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73067	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73091	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73093	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73117	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73120	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73122	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73127	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73152	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73153	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73154	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73173	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73193	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73202	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73203	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73204	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73207	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73210	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73218	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73240	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73243	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73253	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73257	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73273	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73274	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73282	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73290	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73292	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73294	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73299	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73304	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73305	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73307	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73308	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73314	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73315	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73317	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73318	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73321	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73334	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73370	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73374	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73375	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73376	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73380	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73393	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73404	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73409	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73411	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73412	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73418	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73419	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73451	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73452	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73455	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73458	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73469	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73487	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73488	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73501	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73505	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73530	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73534	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73545	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73552	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73553	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73563	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73580	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73581	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73583	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73589	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73592	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73596	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73597	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73607	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73609	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73617	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73632	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73648	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73652	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73654	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73701	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73704	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73705	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73707	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73721	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73722	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73728	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73736	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73746	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73755	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73765	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73801	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73810	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73821	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73823	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73824	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73826	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73833	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73834	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73849	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73866	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73867	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73876	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73886	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73922	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73926	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73930	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73933	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73953	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73954	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73960	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73973	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73982	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73985	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P73998	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74002	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74007	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74020	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74027	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74044	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74057	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74074	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74078	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74102	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74106	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74122	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74126	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74135	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74142	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74153	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74157	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74175	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74176	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74182	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74184	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74186	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74189	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74195	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74210	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74214	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74216	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74226	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74227	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74229	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74230	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74233	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74236	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74241	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74242	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74251	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74275	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74281	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74282	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74296	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74297	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74299	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74305	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74308	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74309	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74314	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74326	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74334	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74335	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74339	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74350	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74352	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74360	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74361	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74390	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74409	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74413	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74419	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74421	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74426	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74427	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74433	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74444	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74447	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74448	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74450	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74451	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74457	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74461	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74463	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74466	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74474	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74485	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74486	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74494	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74499	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74503	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74507	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74510	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74512	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74518	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74534	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74537	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74541	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74551	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74566	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74572	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74582	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74618	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74640	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74643	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74658	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74662	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74667	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74682	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74689	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74690	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74694	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74698	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74702	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74713	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74720	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74729	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74737	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74739	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74745	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74747	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74749	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74754	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74769	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74772	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74776	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P74781	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P75033	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P75039	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P75049	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P75050	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P75061	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P75080	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P75089	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P75090	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P75093	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P75120	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P75136	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P75159	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P75161	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P75170	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P75172	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P75187	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P75205	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P75206	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P75207	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P75223	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P75231	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P75245	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P75250	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P75258	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P75264	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P75271	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P75277	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P75293	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P75301	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P75309	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P75310	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P75313	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P75344	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P75353	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P75354	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P75358	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P75359	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P75376	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P75386	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P75390	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P75393	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P75394	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P75426	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P75465	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P75469	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P75470	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P75482	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P75493	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P75497	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P75512	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P75518	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P75525	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P75526	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P75533	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P75542	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P75543	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P75560	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P75569	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P75575	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P75591	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P75691	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P75694	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P75736	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P75809	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P75818	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P75821	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P75949	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P76001	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P76014	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P76015	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P76072	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P76143	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P76182	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P76194	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P76268	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P76290	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P76387	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P76396	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P76398	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P76402	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P76536	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P76541	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P76552	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P76558	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P76576	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P77172	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P77173	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P77285	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P77318	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P77365	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P77376	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P77395	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P77402	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P77504	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P77510	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P77522	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P77552	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P77554	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P77598	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P77625	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P77627	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P77650	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P77674	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P77756	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P77804	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P77961	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P77962	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P77965	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P77968	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P77970	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P77972	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P77973	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P78010	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P78012	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P78018	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P78022	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P78027	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P78028	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P78032	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P78285	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P80046	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P80239	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P80240	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P80244	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P80505	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P80507	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P80643	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P80698	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P80700	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P80858	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P80859	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P80860	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P80865	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P80866	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P80868	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P80870	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P80871	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P80875	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P80877	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
P80879	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
