Protein	Accession
A4F8M0	SACE_1060
A4F8N5	SACE_1063
A4F8P2	SACE_1078
A4F8P6	SACE_1022
A4F8Q6	Z5402;;BAB38211
A4F8R2	SACE_1089
A4F8W1	SACE_1105
A4F8X2	Z1732
A4F9A1	SACE_1169
A4F9C2	SACE_1303
A4F9D0	SACE_1324
A4F9K3	SACE_1332
A4F9L3	SACE_1158
A4F9N4	SACE_1416
A4F9P6	SACE_1437
A4F9S0	SACE_1449
A4F9S9	SACE_1473
A4F9T1	SACE_1482
A4F9U5	SACE_1484
A4F9X1	SACE_1498
A4FA57	Z0160
A4FA64	SACE_1524
A4FA98	SACE_1619
A4FAC4	Z0114;;BAB33531
A4FAD7	SACE_1654
A4FAF3	Z0108;;BAB33525
A4FAH9	SACE_1694
A4FAK3	SACE_1736
A4FAK6	Z2309
A4FAP2	SACE_1760
A4FAP3	SACE_1802
A4FAT2	SACE_1803
A4FB27	Z3776
A4FBB3	SACE_1845
A4FBC4	Z3762;;BAB36784
A4FBD3	SACE_2028
A4FBI4	SACE_2052
A4FBP1	SACE_2103
A4FBQ8	SACE_2160
A4FBR0	SACE_2177
A4FBX6	Z3071
A4FBY4	SACE_2246
A4FC08	SACE_2254
A4FC51	SACE_2279
A4FCQ4	SACE_2326
A4FCW1	SACE_2538
A4FD29	SACE_2179
A4FDM8	Z3719
A4FDV0	SACE_2875
A4FDV3	SACE_2671
A4FDX2	Z0821
A4FE67	SACE_2969
A4FEJ5	SACE_3064
A4FER8	SACE_3195
A4FES9	SACE_3268
A4FET2	SACE_3279
A4FEW8	SACE_3282
A4FF50	SACE_2950
A4FF68	SACE_3400
A4FF97	SACE_3418
A4FFD6	SACE_3448
A4FFJ7	SACE_3487
A4FFV0	Z2040
A4FG56	SACE_3651
A4FG72	SACE_3548
A4FGD8	Z5854
A4FGG8	SACE_3776
A4FGJ5	SACE_3872
A4FGJ7	Z2935;;BAB36014
A4FH07	SACE_3899
A4FH16	SACE_4061
A4FH84	Z4294;;BAB37248
A4FHF0	SACE_4140
A4FHI1	SACE_4206
A4FHN5	SACE_4237
A4FHR3	SACE_4070
A4FHU9	SACE_4319
A4FIF5	Z4265;;BAB37220
A4FIQ4	SACE_4355
A4FIR1	SACE_4660
A4FJJ5	Z5074;;BAB37946
A4FJU5	SACE_4668
A4FK75	SACE_5060
A4FKG8	Z1986;;BAB35143
A4FKH5	SACE_5304
A4FKK6	SACE_5209
A4FKK9	SACE_5343
A4FKM7	SACE_5346
A4FKN3	Z1272
A4FKU9	SACE_5364
A4FKW8	Z5033
A4FKX2	SACE_5459
A4FKX6	SACE_5463
A4FL79	SACE_5439
A4FLD8	SACE_5618
A4FLI8	Z5745
A4FLP4	SACE_5728
A4FLT1	SACE_5785
A4FLT9	SACE_5677
A4FLU1	Z5744;;BAB38543
A4FLU4	SACE_5832
A4FM34	SACE_5835
A4FM62	SACE_5830
A4FMD6	SACE_5955
A4FME7	SACE_6037
A4FMF1	Z0545
A4FMJ9	SACE_6049
A4FML6	SACE_6101
A4FMN8	SACE_6118
A4FMQ3	Z1248
A4FMQ5	SACE_6140
A4FMR9	SACE_6157
A4FMU4	SACE_6171
A4FMU5	SACE_6196
A4FMY9	N/A
A4FN01	SACE_6241
A4FN27	SACE_6197
A4FN29	SACE_6280
A4FN31	SACE_6282
A4FN42	N/A
A4FN70	SACE_6284
A4FN85	N/A
A4FNA3	SACE_6340
A4FNB7	SACE_6358
A4FND0	SACE_6372
A4FNH5	SACE_6324
A4FNI7	SACE_6430
A4FNJ6	CAD00695
A4FNK4	SACE_6442
A4FNL5	CAD00674
A4FNN8	SACE_6471
A4FNQ9	SACE_6460
A4FNX4	SACE_6515
A4FP30	N/A
A4FP45	SACE_6639
A4FP58	SACE_6654
A4FP59	SACE_6582
A4FP81	CAD00617
A4FP82	SACE_6690
A4FP99	SACE_6691
A4FPA4	SACE_6708
A4FPA5	SACE_6668
A4FPA6	SACE_6714
A4FPC7	SACE_6715
A4FPD9	CAD00602
A4FPI2	SACE_6748
A4FPJ2	SACE_6736
A4FPL9	N/A
A4FPM0	SACE_6803
A4FPM6	SACE_6831
A4FPM7	SACE_6837
A4FPQ5	CAD00550
A4FPS4	SACE_6838
A4FPS6	N/A
A4FPT8	SACE_6885
A4FPT9	CAD00536
A4FPW7	SACE_6900
A4FPX2	SACE_6899
A4FPY3	SACE_6934
A4FQ00	N/A
A4FQ07	SACE_6963
A4FQ59	SACE_6970
A4FQ74	SACE_6945
A4FQE0	SACE_7038
A4FQE1	N/A
A4FQF3	SACE_7107
A4FQL5	SACE_7106
A4FQP3	SACE_7182
A4FQQ3	N/A
A4FQV0	SACE_7220
A4FQV7	SACE_7210
A4FR03	N/A
A4FR20	SACE_7320
A4FR32	SACE_7274
A4FR37	CAD00445
A4FR43	SACE_7356
A4FR48	SACE_7351
A4FR54	SACE_7367
A4FR66	N/A
A4GZC4	SACE_7385
A4VUK1	N/A
A4VYN7	SSU05_0824
A4VYQ9	SSU98_0066
A4VZM2	SSU98_0088
A4VZZ3	SSU98_0403
A4W6D5	SSU98_0524
A5A547	Ent638_0578
A5A6E0	SYNPCC7002_A1248
A5A6E1	SF_p0088;;SF0301;;SF2064;;SF2211;;S2175;;S2337
A5F2R1	SF_p0055;;SF_p0183;;SF0477;;SF0492;;SF1056;;SF3706;;S1124;;S1131
A5F2S8	VC0395_A0535;;VC395_1029
A5F5X0	VC0395_A0534;;VC395_1028
A5F5Y7	VC0395_A1883;;VC395_2410
A5TY85	VC0395_A1882;;VC395_2409
A5U1J9	MRA_0017
A6QEJ9	MRA_1161
A6QEK0	NWMN_0509
A6QES8	NWMN_0510
A6QF82	NWMN_0588
A6QFE3	NWMN_0742
A6QFH3	NWMN_0803
A6QG89	NWMN_0833
A6QGC0	NWMN_1099
A6QGJ4	NWMN_1130
A6QGZ6	NWMN_1204
A6QH73	NWMN_1356
A6QHF1	NWMN_1433
A6QHF8	NWMN_1511
A6QHI6	NWMN_1518
A6QHK1	NWMN_1546
A6QHK8	NWMN_1561
A6QHX1	NWMN_1568
A6QIV7	NWMN_1681
A6QIW4	NWMN_2017
A6QJ77	NWMN_2024
A6QJ80	NWMN_2137
A6QJK3	NWMN_2140
A6QJK4	NWMN_2263
A6QK93	NWMN_2264
A6T6C0	NWMN_2503
A6T751	KPN_00698
A6T8G6	KPN_00986
A6TDR7	KPN_01455
A6TEX7	KPN_03341
A6TGC6	KPN_03724;;KPN_04357
A6THD2	KPN_04231
A7FKP6	KPN_04615
A7HD43	YpsIP31758_2861
A7HD44	Anae109_2438
A7K468	Anae109_2439
A7K6K8	VEx25_0553
A7MRY4	VEA_002945;;VEx25_B0270
A7MVC1	VIBHAR_02766
A7MVC2	VIBHAR_02958
A7N3Z3	VIBHAR_02959
A7N6S2	VIBHAR_05352
A7X5Y5	VIBHAR_06089
A7X5Y6	SAHV_2345
A7Z0L6	SAHV_2346
A7Z0N4	RBAM_001190
A7Z0R1	RBAM_001370
A7Z4N7	RBAM_001640
A7Z4S1	RBAM_016000
A7Z7J8	RBAM_016340
A7Z8Y1	RBAM_026160
A7ZPV7	RBAM_031260
A7ZR34	EcE24377A_2798
A7ZRX6	EcE24377A_3254
A7ZSL4	EcE24377A_3560
A8ACN8	SACE_7373
A8AD18	CKO_00073
A8AD67	CKO_00216
A8AG06	CKO_00265
A8AMQ1	CKO_01279
A8ANQ0	CKO_03687
A8AQ65	CKO_04047
A8AQK7	CKO_04577
A8G8E8	N/A
A9QSH6	Spro_0278
B0LF85	LLKF_0114
B0R2Y8	N/A
B0R319	OE_1385F
B0R347	OE_1442R
B0R351	OE_1495R
B0R396	OE_1500R
B0R3E7	OE_1584R
B0R3H4	OE_1684F
B0R3H6	OE_1737R
B0R3L0	OE_1742R
B0R3T9	OE_1797R
B0R424	OE_1951F
B0R460	OE_2097F
B0R4A4	OE_2165R
B0R4C7	OE_2249R
B0R4C8	OE_2294R
B0R4E6	OE_2296F
B0R4G7	OE_2318R
B0R4K1	OE_2359F
B0R4M9	OE_2417R
B0R4U7	OE_2458R
B0R4X6	OE_2577R
B0R4Y1	OE_2623R
B0R4Y4	OE_2629F
B0R502	OE_2633F
B0R507	OE_2667F
B0R5A2	OE_2676R
B0R5B6	OE_2847R
B0R5T1	OE_2866R
B0R5V7	OE_3168R
B0R639	OE_3214F
B0R656	OE_3357R
B0R669	OE_3388F
B0R673	OE_3407F
B0R6B9	OE_3412F
B0R6E4	OE_3495R
B0R6J7	OE_3542R
B0R6K8	OE_3634F
B0R6N0	OE_3653R
B0R6N9	OE_3691F
B0R6U9	OE_3710R
B0R6V4	OE_3807R
B0R716	OE_3815R
B0R718	OE_3922R
B0R730	OE_3925R
B0R733	OE_3943R
B0R740	OE_3949R
B0R758	OE_3959R
B0R761	OE_3988R
B0R7B7	OE_3992R
B0R7B9	OE_4094F
B0R7D2	OE_4101R
B0R7F9	OE_4122R
B0R7G0	OE_4169F
B0R7H4	OE_4171R
B0R7J8	OE_4190F
B0R7N5	OE_4230F
B0R7N9	OE_4301R
B0R7X8	OE_4305R
B0R809	OE_4459R
B0R827	OE_4509F
B0R854	OE_4551F
B0R868	OE_4600F
B0R894	OE_4626R
B0R895	OE_4671R
B0R8C3	OE_4673F
B0R8C8	OE_4721R
B0R8D1	OE_4729R
B0R9W9	OE_4736R
B0R9X0	OE_5201F
B0R9Z1	OE_5202F
B0RSD3	OE_5243F
B0RVK5	xcc-b100_2015
B0RY12	xcc-b100_3729
B0VCC7	xcc-b100_3167
B0VKB2	ABAYE3679
B0VKC5	ABSDF1269
B0VKH6	ABSDF1282
B0VKN4	ABSDF1333
B0VKN8	ABSDF2964
B0VKV8	ABSDF2968
B0VL30	ABSDF1362
B0VL49	ABSDF1434
B0VLB4	ABSDF3031
B0VLB7	ABSDF3100
B0VLI7	ABSDF3103
B0VLL5	ABSDF1493
B0VLN6	ABSDF1523
B0VLP7	ABSDF1545
B0VLP9	ABSDF1556
B0VLR9	ABSDF1558
B0VLS2	ABSDF3157
B0VLT3	ABSDF3160
B0VLV5	ABSDF3171
B0VLX0	ABSDF3197
B0VLX4	ABSDF3215
B0VLX9	ABSDF3220
B0VLY6	ABSDF3226
B0VLZ5	ABSDF3233
B0VM09	ABSDF3242
B0VM15	ABSDF1569
B0VM17	ABSDF1575
B0VM27	ABSDF1577
B0VM34	ABSDF1587
B0VM40	ABSDF1594
B0VM41	ABSDF1600
B0VM47	ABSDF1601
B0VM50	ABSDF1607
B0VM65	ABSDF1610
B0VM70	ABSDF1625
B0VM78	ABSDF1630
B0VMA3	ABSDF1638
B0VMG0	ABSDF3247
B0VMK3	ABSDF3305
B0VMK6	ABSDF0004
B0VMK7	ABSDF0007
B0VMM1	ABSDF0008
B0VMQ4	ABSDF0027
B0VMU1	ABSDF0063
B0VMU5	ABSDF1677
B0VMV0	ABSDF1681
B0VMX7	ABSDF1686
B0VMY0	ABSDF1714
B0VMZ1	ABSDF1717
B0VN00	ABSDF1728
B0VN01	ABSDF1737
B0VN09	ABSDF1738
B0VN34	ABSDF1746
B0VN61	ABSDF3351
B0VN84	ABSDF3378
B0VNB3	ABSDF3402
B0VNB8	ABSDF3432
B0VND0	ABSDF3437
B0VND4	ABSDF0087
B0VNF4	ABSDF0091
B0VNK2	ABSDF0115
B0VNK4	ABSDF0168
B0VNK8	ABSDF0170
B0VNW5	ABSDF0175
B0VNW6	ABSDF1856
B0VNW9	ABSDF1857
B0VNX2	ABSDF1860
B0VP28	ABSDF1863
B0VP32	ABSDF3501
B0VP39	ABSDF3506
B0VP54	ABSDF3513
B0VP87	ABSDF3528
B0VP88	ABSDF0205
B0VP98	ABSDF0206
B0VPA7	ABSDF0217
B0VPB1	ABSDF0227
B0VPD8	ABSDF0231
B0VPF0	ABSDF0259
B0VPG4	ABSDF0271
B0VPG9	ABSDF0287
B0VPH0	ABSDF0292
B0VPH3	ABSDF0293
B0VPK0	ABSDF0296
B0VPK8	ABSDF1898
B0VPL2	ABSDF1906
B0VPL3	ABSDF1910
B0VPL4	ABSDF1911
B0VPN2	ABSDF1912
B0VPS1	ABSDF1930
B0VPZ3	ABSDF1970
B0VQ03	ABSDF3628
B0VQ05	ABSDF3639
B0VQ41	ABSDF3641
B0VQ52	ABSDF0309
B0VQ53	ABSDF0322
B0VQ75	ABSDF0323
B0VQ84	ABSDF0345
B0VQ97	ABSDF0354
B0VQI4	ABSDF0367
B0VQI5	ABSDF2032
B0VQI6	ABSDF2033
B0VQJ8	ABSDF2034
B0VQK7	ABSDF2046
B0VQL2	ABSDF2056
B0VQM1	ABSDF2061
B0VQN1	ABSDF2071
B0VQV5	ABSDF2081
B0VQW4	ABSDF0461
B0VQX4	ABSDF0471
B0VQZ5	ABSDF0481
B0VR06	ABSDF2086
B0VR12	ABSDF2097
B0VR17	ABSDF2103
B0VR18	ABSDF2108
B0VR25	ABSDF2109
B0VR59	ABSDF2116
B0VR79	ABSDF2153
B0VRB4	ABSDF2173
B0VRC9	ABSDF0524
B0VRD1	ABSDF0541
B0VRG2	ABSDF0543
B0VRH0	ABSDF0577
B0VRH4	ABSDF0585
B0VRH6	ABSDF0589
B0VRJ0	ABSDF0591
B0VRK6	ABSDF0605
B0VRK7	ABSDF2200
B0VRK9	ABSDF2201
B0VRL3	ABSDF2203
B0VRL9	ABSDF2207
B0VRN3	ABSDF2213
B0VRN5	ABSDF2228
B0VRN8	ABSDF2230
B0VRN9	ABSDF2233
B0VRW1	ABSDF2234
B0VRX0	ABSDF0624
B0VRX4	ABSDF0634
B0VRZ6	ABSDF0638
B0VS13	ABSDF0660
B0VSA2	ABSDF0678
B0VSA6	ABSDF2357
B0VSB0	ABSDF2361
B0VSC3	ABSDF2365
B0VSC6	ABSDF2378
B0VSC7	ABSDF2382
B0VSG3	ABSDF2383
B0VSH0	ABSDF0729
B0VSK6	ABSDF0737
B0VSK9	ABSDF0774
B0VSL1	ABSDF0777
B0VSM6	ABSDF0779
B0VSP4	ABSDF0797
B0VSP5	ABSDF0817
B0VSP8	ABSDF0818
B0VSR1	ABSDF0821
B0VT26	ABSDF2418
B0VT30	ABSDF0846
B0VT37	ABSDF0851
B0VT43	ABSDF0858
B0VT50	ABSDF0864
B0VT51	ABSDF0871
B0VT70	ABSDF0872
B0VT89	ABSDF0894
B0VTA3	ABSDF0915
B0VTE3	ABSDF0930
B0VTE4	ABSDF2548
B0VTE7	ABSDF2549
B0VTF2	ABSDF2552
B0VTG3	ABSDF2557
B0VTG4	ABSDF2568
B0VTG5	ABSDF2569
B0VTG6	ABSDF2570
B0VTG7	ABSDF2571
B0VTK7	ABSDF2572
B0VTL0	ABSDF0934
B0VTL8	ABSDF0937
B0VTN8	ABSDF0945
B0VTP6	ABSDF0966
B0VTQ1	ABSDF0974
B0VTR7	ABSDF0979
B0VTW8	ABSDF0995
B0VTY1	ABSDF2624
B0VTY5	ABSDF2638
B0VU03	ABSDF2642
B0VU34	ABSDF2660
B0VU36	ABSDF2691
B0VU39	ABSDF2693
B0VU92	ABSDF2697
B0VUG0	ABSDF1079
B0VUH1	ABSDF2717
B0VUQ9	ABSDF2730
B0VUR7	ABSDF1150
B0VUS6	ABSDF1159
B0VUT0	ABSDF1168
B0VUT7	ABSDF1172
B0VUU5	ABSDF1179
B0VUU9	ABSDF1187
B0VUW0	ABSDF1191
B0VUW1	ABSDF1202
B0VUX3	ABSDF1203
B0VV27	ABSDF1215
B0VV34	ABSDF2844
B0VVA3	ABSDF2854
B0VVG9	ABSDF1093.3
B1LJZ7	ABSDF_p30025
B1XHQ1	EcSMS35_2255
B1XHR0	SYNPCC7002_A1983
B1XHU3	SYNPCC7002_A1992
B1XHV3	SYNPCC7002_A2025
B1XHW1	SYNPCC7002_A2035
B1XHX8	SYNPCC7002_A2043
B1XHY8	SYNPCC7002_A0724
B1XI00	SYNPCC7002_A0734
B1XI15	SYNPCC7002_A0746
B1XI23	SYNPCC7002_A0761
B1XI27	SYNPCC7002_A0769
B1XI34	SYNPCC7002_A0773
B1XI63	SYNPCC7002_A0780
B1XI89	SYNPCC7002_A2061
B1XIB1	SYNPCC7002_A2090
B1XID3	SYNPCC7002_A2113
B1XID9	SYNPCC7002_A2136
B1XIJ8	SYNPCC7002_A0806
B1XIQ3	SYNPCC7002_A0865
B1XIR1	SYNPCC7002_A2174
B1XIS1	SYNPCC7002_A2182
B1XIT7	SYNPCC7002_A2192
B1XIX5	SYNPCC7002_A2208
B1XIY4	SYNPCC7002_A0913
B1XIZ9	SYNPCC7002_A0922
B1XJ00	SYNPCC7002_A0937
B1XJ06	SYNPCC7002_A0938
B1XJ17	SYNPCC7002_A0944
B1XJ56	SYNPCC7002_A0956
B1XJ57	SYNPCC7002_A2243
B1XJ60	SYNPCC7002_A2244
B1XJC1	SYNPCC7002_A2247
B1XJE1	SYNPCC7002_A0978
B1XJG5	SYNPCC7002_A0998
B1XJH2	SYNPCC7002_A1022
B1XJH3	SYNPCC7002_A1029
B1XJI0	SYNPCC7002_A1030
B1XJI9	SYNPCC7002_A1038
B1XJJ0	SYNPCC7002_A1047
B1XJJ1	SYNPCC7002_A1048
B1XJN0	SYNPCC7002_A1049
B1XJQ7	SYNPCC7002_A2338
B1XJR5	SYNPCC7002_A2365
B1XJV1	SYNPCC7002_A2373
B1XJV4	SYNPCC7002_A1077
B1XJZ4	SYNPCC7002_A1080
B1XK04	SYNPCC7002_A1122
B1XK65	SYNPCC7002_A1132
B1XK76	SYNPCC7002_A2442
B1XK81	SYNPCC7002_A2453
B1XK88	SYNPCC7002_A2458
B1XKC7	SYNPCC7002_A2465
B1XKC9	SYNPCC7002_A1174
B1XKD0	SYNPCC7002_A1176
B1XKD3	SYNPCC7002_A1177
B1XKD5	SYNPCC7002_A1180
B1XKE5	SYNPCC7002_A1182
B1XKF4	SYNPCC7002_A1192
B1XKJ1	SYNPCC7002_A1201
B1XKJ2	SYNPCC7002_A2488
B1XKK0	SYNPCC7002_A2489
B1XKK6	SYNPCC7002_A2496
B1XKL1	N/A
B1XKL6	PMK1_01279;;AB185_08595;;AGG09_15950;;BN49_0342;;SK89_04883;;SM87_03536;;APT98_19080;;SAMEA2273741_02235;;SAMEA2273575_02076;;SAMEA2273876_04722;;SAMEA2273639_04802;;SAMEA2273624_04846;;SAMEA2273697_00215;;SAMEA2273573_03234;;SAMEA3531848_04919;;SAMEA3531778_03991;;SAMEA3531884_02158
B1XKL7	SYNPCC7002_A2513
B1XKM6	SYNPCC7002_A2514
B1XKQ7	SYNPCC7002_A2523
B1XKR6	SYNPCC7002_A0008
B1XKS1	SYNPCC7002_A0017
B1XKU7	SYNPCC7002_A0022
B1XKV1	SYNPCC7002_A0049
B1XKZ7	SYNPCC7002_A0053
B1XL10	SYNPCC7002_A1254
B1XL15	SYNPCC7002_A1268
B1XL17	SYNPCC7002_A1273
B1XL18	SYNPCC7002_A1275
B1XL22	SYNPCC7002_A1276
B1XL29	SYNPCC7002_A1280
B1XL42	SYNPCC7002_A1287
B1XL66	SYNPCC7002_A2552
B1XLA1	SYNPCC7002_A2576
B1XLA3	SYNPCC7002_A2611
B1XLC0	SYNPCC7002_A2613
B1XLC6	SYNPCC7002_A0063
B1XLD2	SYNPCC7002_A0069
B1XLD5	SYNPCC7002_A0075
B1XLE2	SYNPCC7002_A0078
B1XLF2	SYNPCC7002_A0086
B1XLF8	SYNPCC7002_A0096
B1XLH5	SYNPCC7002_A0103
B1XLK6	SYNPCC7002_A0120
B1XLN4	SYNPCC7002_A1302
B1XLP9	SYNPCC7002_A1330
B1XLQ7	SYNPCC7002_A1346
B1XLT0	SYNPCC7002_A1354
B1XLU9	SYNPCC7002_A1377
B1XLZ0	SYNPCC7002_A2646
B1XLZ3	SYNPCC7002_A2688
B1XLZ7	SYNPCC7002_A2691
B1XM06	SYNPCC7002_A2695
B1XM21	SYNPCC7002_A2704
B1XM32	SYNPCC7002_A0154
B1XM44	SYNPCC7002_A0165
B1XM45	SYNPCC7002_A0177
B1XM81	SYNPCC7002_A0178
B1XM95	SYNPCC7002_A0215
B1XMD0	SYNPCC7002_A1385
B1XMF0	SYNPCC7002_A1425
B1XMF3	SYNPCC7002_A1445
B1XMF7	SYNPCC7002_A1448
B1XMG6	SYNPCC7002_A1452
B1XMJ1	SYNPCC7002_A1461
B1XMJ8	SYNPCC7002_A2735
B1XML7	SYNPCC7002_A2743
B1XMR4	SYNPCC7002_A2762
B1XMS4	SYNPCC7002_A0239
B1XMS5	SYNPCC7002_A0250
B1XMT9	SYNPCC7002_A0251
B1XMV9	SYNPCC7002_A0266
B1XMW3	SYNPCC7002_A0286
B1XMW4	SYNPCC7002_A0290
B1XMW7	SYNPCC7002_A0291
B1XMY8	SYNPCC7002_A0294
B1XN08	SYNPCC7002_A1477
B1XN10	SYNPCC7002_A1497
B1XN11	SYNPCC7002_A1499
B1XN19	SYNPCC7002_A1500
B1XN27	SYNPCC7002_A1508
B1XN32	SYNPCC7002_A1516
B1XN36	SYNPCC7002_A1521
B1XN39	SYNPCC7002_A1525
B1XN41	SYNPCC7002_A1528
B1XN46	SYNPCC7002_A1530
B1XN61	SYNPCC7002_A1535
B1XN69	SYNPCC7002_A2802
B1XN71	SYNPCC7002_A2810
B1XN87	SYNPCC7002_A2812
B1XN94	SYNPCC7002_A2828
B1XN95	SYNPCC7002_A2835
B1XNA5	SYNPCC7002_A2836
B1XNB5	SYNPCC7002_A2847
B1XNH1	SYNPCC7002_A2857
B1XNH3	SYNPCC7002_A0339
B1XNI7	SYNPCC7002_A0341
B1XNJ2	SYNPCC7002_A0355
B1XNM4	SYNPCC7002_A0360
B1XNP2	SYNPCC7002_A1558
B1XNQ8	SYNPCC7002_A1576
B1XNR2	SYNPCC7002_A1592
B1XNS5	SYNPCC7002_A1596
B1XNV2	SYNPCC7002_A1610
B1XNY5	SYNPCC7002_A0385
B1XNY8	SYNPCC7002_A0418
B1XP01	SYNPCC7002_A0421
B1XP17	SYNPCC7002_A0434
B1XP36	SYNPCC7002_A0452
B1XP38	SYNPCC7002_A1639
B1XP53	SYNPCC7002_A1641
B1XP61	SYNPCC7002_A1656
B1XP71	SYNPCC7002_A1665
B1XP78	SYNPCC7002_A1675
B1XP79	SYNPCC7002_A1682
B1XP80	SYNPCC7002_A1683
B1XP90	SYNPCC7002_A1684
B1XP95	SYNPCC7002_A1694
B1XPA6	SYNPCC7002_A1699
B1XPA7	SYNPCC7002_A1710
B1XPB6	SYNPCC7002_A1711
B1XPC5	SYNPCC7002_A0465
B1XPD4	SYNPCC7002_A0474
B1XPE2	SYNPCC7002_A0483
B1XPE7	SYNPCC7002_A0492
B1XPF4	SYNPCC7002_A0497
B1XPG7	SYNPCC7002_A0504
B1XPK2	SYNPCC7002_A0517
B1XPK3	SYNPCC7002_A1727
B1XPP4	SYNPCC7002_A1728
B1XPU9	SYNPCC7002_A1769
B1XPV1	SYNPCC7002_A0570
B1XPX6	SYNPCC7002_A0572
B1XPX8	SYNPCC7002_A0597
B1XQ64	SYNPCC7002_A0599
B1XQ68	SYNPCC7002_A1858
B1XQ75	SYNPCC7002_A1862
B1XQ85	SYNPCC7002_A1869
B1XQ92	SYNPCC7002_A1879
B1XQA7	SYNPCC7002_A0629
B1XQB2	SYNPCC7002_A0644
B1XQE5	SYNPCC7002_A0649
B1XQF1	SYNPCC7002_A0682
B1XQF2	SYNPCC7002_A0688
B1XQF6	SYNPCC7002_A0689
B1XQG3	SYNPCC7002_A0693
B1XQG5	SYNPCC7002_A0700
B1XQG8	SYNPCC7002_A0702
B1XQJ2	SYNPCC7002_A0705
B1XQL7	SYNPCC7002_A1900
B1XQM2	SYNPCC7002_A1925
B1XQP1	SYNPCC7002_A1930
B1XQQ7	SYNPCC7002_A1949
B1XQQ9	SYNPCC7002_A1965
B1XQR5	SYNPCC7002_A1967
B1XQS4	SYNPCC7002_C0001
B1XQV0	SYNPCC7002_C0010
B1XQW1	SYNPCC7002_D0019
B1XQX2	SYNPCC7002_D0030;;SYNPCC7002_G0051
B1XQX5	SYNPCC7002_E0011
B1XQZ6	SYNPCC7002_E0014
B1XR00	SYNPCC7002_E0035
B1XR14	SYNPCC7002_E0039
B1XR17	SYNPCC7002_F0014;;SYNPCC7002_G0041
B1XR21	SYNPCC7002_F0017
B1XR22	SYNPCC7002_F0021
B1XR35	SYNPCC7002_F0022
B1XR40	SYNPCC7002_F0035
B1XR47	SYNPCC7002_F0040
B1XR72	SYNPCC7002_F0047
B1XR86	SYNPCC7002_F0072
B1XRA0	SYNPCC7002_F0086
B1XRC9	SYNPCC7002_F0100
B1XRD7	SYNPCC7002_G0073
B1XRI4	SYNPCC7002_G0082
B1XRL8	SYNPCC7002_G0129
B1XRQ5	SYNPCC7002_G0163
B1XRQ6	SYNPCC7002_G0035
B2S753	SYNPCC7002_G0036
B2SB45	BAbS19_I15100
B3GZ21	BAbS19_II05870
B3KLX4	CKO_04725
B5F6V5	CAD00114
B5XYF7	SMa5026
B5XZ79	KPK_5311
B5Y275	KPK_3777
B5Y2E4	KPK_4775
B7LRJ8	N/A
B7MDM9	EFER_3201
B7SCE5	ECS88_3790
B7UM99	ERS075195_00339;;ERS082928_00365
B7UR12	E2348C_3941
B8DE07	E2348C_4682
B8GZM2	LMHCC_1066
C0H3R1	CCNA_02546
C0H3T5	BSU32859
C0H3T6	BSU39139
C0H3V2	KPK_4850
C0H423	BSU03982
C0H440	N/A
C0H445	BSU21229
C0H461	BSU22849
C0LZQ0	BSU27468
C0SP85	BSU18849
C0SP93	BSU31910
C0SPB6	BSU29210
C0SPB8	BSU36310
C1KVC0	N/A
C1KW86	Lm4b_01483
C1KX21	Lm4b_01803
C1KYE1	Lm4b_02089
C1KYI2	Lm4b_00206
C1KYU1	Lm4b_00270
C1KZK7	Lm4b_02493
C3W947	Lm4b_02626
C5BGM2	BSU33740
C8T007	CAD00015
C8UMQ9	HMPREF0484_0947
D0WT66	ECO111_1236
D0WX67	AGG09_03630;;BN49_2325;;SK89_00664;;BCB67_25815;;SAMEA3531778_00011
D0WZ14	N/A
D0X0H0	EN72_02810;;DX05_03000;;RDF_0490;;BBP08_06115;;WA00_11430;;WA02_04245;;WA04_06140;;WA03_01260;;WA05_08440;;VZ99_10700;;AX245_10955
D0X3A8	VMC_29200
D0X4G1	VMC_39080
D0ZV89	VMC_43110
D2BKU3	STM14_1408
D2BKU8	LLKF_1810
D2BKY7	LLKF_1817
D2BKZ2	LLKF_1868
D2BLI2	LLKF_1873
D2BM73	LLKF_2057
D2BMX4	LLKF_2213
D2BNL6	LLKF_2381
D2BNM4	LLKF_2504
D2BNR6	LLKF_2514
D2BP55	LLKF_0435
D2BQ68	LLKF_0564
D2BRC3	LLKF_0988
D4GUJ7	NT01EI_3591
D4GYZ1	HVO_0850
D4H071	HVO_1562
D5E6P6	CAC99966
D5E6P9	HVO_1727
D5E6Y5	Mmah_1338
D5E7U0	N/A
D5E895	Mmah_1425
D5E8U2	N/A
D5E9H2	Mmah_1888
D5E9V6	Mmah_0291
D5E9V9	CAC99897
D5E9Y3	Mmah_0426
D5EAE2	Mmah_0454
D5EB50	Mmah_0618
D5EBE9	Mmah_0878
D5EBU5	Mmah_0980
D5EBX8	N/A
E2JA29	Mmah_1174
F2Z5W8	N/A
F2Z5Y7	Mmah_1140
F2Z5Z2	N/A
F2Z692	Saci_1347
F2Z698	Saci_1590
F2Z6D2	Saci_0877
F2Z6F6	Saci_1588
F2Z6G3	Saci_0050
F6KV61	N/A
F6KV62	N/A
G2K046	N/A
G2K047	LMRG_00926
G3XD28	Saci_1598
G3XD31	N/A
G3XD71	PA4700
G5EB01	PA5044
I6WXK4	HP_0642
I6WYU2	LH57_00855;;Rv0153c
I6WZ58	CAC99753
I6WZG6	LH57_03195;;Rv0597c
