Protein	PI.isoelectric.point...MW.molecular.weight.
A0QVZ3	5.19,,25416.1
A0QW11	6.74,,13697.56
A0QWG9	5.72,,31780.8
A0QWQ9	5.29,,41943.57
A0QWR2	5.6,,20460.39
A0QWS9	5.79,,21588.53
A0QWV0	5.12,,47881.18
A0QYB1	5.63,,115290.78
A0QYE8	5.34,,49593.3
A0QYF6	4.38,,80661.19
A0QYG2	4.35,,16584.12
A0QYQ0	4.81,,23536.41
A0QYR3	5.88,,35572.59
A0R006	4.67,,29544.39
A0R012	4.47,,39134.07
A0R049	8.79,,22180.99
A0R054	3.95,,30797.85
A0R082	5.76,,109399.77
A0R0F3	5.71,,55614.66
A0R0W9	5.46,,74690.12
A0R2J4	6.07,,16673.91
A0R2U6	4.73,,21617.39
A0R2V4	5.19,,36220.93
A0R2X1	4.57,,17873.68
A0R2X3	5.47,,40457.76
A0R316	4.65,,38249.42
A0R368	5.18,,26614.25
A0R3C1	4.88,,32358.95
A0R3K5	9.12,,21000.73
A0R3L2	5.9,,65527.16
A0R3M3	5.25,,30948.44
A0R3M6	7.95,,23624.25
A0R4B3	5.07,,38454.38
A0R4G4	4.76,,81012.39
A0R4R5	4.63,,53609.35
A0R574	5.45,,93553.2
A0R582	5,,55679.67
A0R5B0	4.33,,12028.82
A0R5D6	5.46,,60210.62
A0R5R8	4.48,,31235.69
A0R5Z0	4.52,,18944.25
A0R6Z6	10.09,,21579.28
A0R7H5	4.93,,106556.36
A0R7J1	6.61,,42862.37
A0R7J6	4.49,,20141.48
A1JS01	4.97,,36595.8
A1JS57	10.63,,13730.08
A1KEI6	4.99,,53742.9
A1KEM3	10.61,,9543.21
A1KEN2	6.51,,107416.69
A1KEU8	5.06,,49889.11
A1KF76	5.92,,52134.6
A1KFE4	5.92,,20809.61
A1KFH2	4.85,,66830.86
A1KFH3	4.39,,24558.69
A1KFQ1	4.88,,20938.73
A1KFR2	4.85,,56726.69
A1KFV6	6.4,,38521
A1KG00	5.93,,47515.93
A1KG35	10,,25298.94
A1KG43	9.2,,18077.57
A1KGB4	9.87,,6495.51
A1KGE8	5.82,,146710.27
A1KGF0	5.33,,26845.2
A1KGG3	10.56,,17600.37
A1KGG5	5.28,,43593.56
A1KGI6	10.48,,10803.55
A1KGI8	10.14,,30019.94
A1KGJ6	10.36,,11475.21
A1KGL4	5.02,,20124.91
A1KGY5	5.21,,59783.15
A1KH33	9.65,,18909.49
A1KH91	5.5,,55026.21
A1KHA2	6.18,,12799.67
A1KHE8	9.92,,34645.66
A1KHE9	4.78,,31381.7
A1KHL8	4.9,,17854.66
A1KHN9	5.24,,38084.03
A1KHS4	5.13,,81581.52
A1KI95	5.39,,48805.79
A1KI97	5.39,,33890.37
A1KIM7	5.54,,27391
A1KIN7	4.87,,40690.64
A1KIS1	9.32,,36030.88
A1KJ01	5.1,,22453.91
A1KJ27	5.07,,28023.11
A1KJD0	7.06,,49957.76
A1KJN3	5.24,,88951.79
A1KJP9	5.03,,80403.02
A1KJR2	5.54,,60825.13
A1KJR4	5.01,,23348.39
A1KJX3	5.05,,80561.84
A1KKE0	8.16,,8941.18
A1KKH3	5.24,,45594.54
A1KKJ6	10.05,,41858.14
A1KKJ8	5.23,,50254.51
A1KKK8	8.45,,42529.3
A1KKK9	6.06,,15911.78
A1KKQ5	8.18,,53447.34
A1KL43	5.83,,46911.71
A1KLE1	5.34,,14507.54
A1KLF8	4.43,,50632.11
A1KLQ3	5.37,,97342.8
A1KLT2	9.5,,23245.76
A1KLV6	5.24,,31365.07
A1KMC6	4.73,,79734.66
A1KMI1	5.41,,18998.31
A1KMI2	6.01,,94041
A1KML3	5.14,,40482.33
A1KML5	5.44,,42853.49
A1KMM4	9.66,,39255.09
A1KMQ3	9.87,,17437.09
A1KMU5	9.09,,41347.62
A1KMW6	4.76,,30387.14
A1KNQ0	5.07,,54323.63
A1KP49	5.97,,29452.76
A1KP65	5.55,,41720.24
A1KPA9	4.62,,10804.22
A1KPC8	5.21,,45873.11
A1KPE4	10.02,,23475.85
A1KPE8	9.45,,8488.93
A1KPR8	4.71,,24073.53
A1KPS2	5.36,,38987.1
A1KQF8	9.34,,116069.36
A1KQG0	5.29,,225734.36
A1KQH3	5.23,,33633.27
A2RN46	5.04,,31989.57
A2T9S8	NA
A3M1G4	6.9,,155050.75
A3M8K2	5.13,,36526.54
A4F5N2	5.37,,65799.69
A4F5N9	4.55,,27939.84
A4F5R2	11.28,,19222.88
A4F5S3	5.55,,71131.41
A4F5S9	4.64,,47223.9
A4F5W8	4.43,,13701.02
A4F5Z4	5.62,,45796.2
A4F627	10.85,,19396.55
A4F672	6.23,,49232.93
A4F673	6.53,,50150.26
A4F696	4.38,,25186.87
A4F6D0	4.15,,11698.13
A4F6H7	5.6,,54529.47
A4F6I7	5.45,,16686.09
A4F6L2	5.09,,72042.59
A4F6R6	3.95,,128255.52
A4F6T8	5.33,,94716.51
A4F6U4	8.02,,27914.63
A4F6X7	4.64,,36012.23
A4F6Y5	5.03,,92182.09
A4F709	4.99,,45485.5
A4F741	4.94,,77229.98
A4F749	4.86,,57223.41
A4F761	5.33,,30022.59
A4F779	4.71,,121826.52
A4F7E0	5.39,,23436.29
A4F7G2	6.09,,24705.61
A4F7J1	5.93,,14104.53
A4F7L1	5.17,,24076.39
A4F7L3	4.9,,30332.07
A4F7T4	5.38,,14464.48
A4F7U1	4.9,,32106.47
A4F7V1	5.61,,49343.09
A4F7Y7	10.16,,28900.13
A4F7Z3	6.25,,60343.61
A4F812	9.58,,34512.66
A4F831	5.68,,118615.91
A4F834	5.47,,50926.75
A4F864	5.36,,44554.09
A4F866	4.64,,17853.77
A4F8H9	4.73,,51980.18
A4F8K1	8.14,,18129.7
A4F8L7	9.29,,53552.69
A4F8M0	4.79,,7881.98
A4F8N5	5.15,,117638.02
A4F8P2	4.92,,15102.93
A4F8P6	4.93,,47833.44
A4F8Q6	4.54,,54102.83
A4F8R2	4.78,,41203.94
A4F8W1	5.65,,42964.98
A4F8X2	9.69,,30361.76
A4F9A1	5.08,,35033.04
A4F9C2	5.08,,161859.49
A4F9D0	6.36,,35496.98
A4F9K3	5.23,,114690.37
A4F9L3	5.06,,52060.36
A4F9N4	4.95,,45142.04
A4F9P6	5.33,,47895.61
A4F9S0	4.94,,47876.86
A4F9S9	4.93,,13200.87
A4F9T1	4.46,,19768.24
A4F9U5	6.05,,15499.27
A4F9X1	3.66,,8347.18
A4FA57	8.5,,55899.5
A4FA64	5.43,,110959.93
A4FA98	4.5,,12981.37
A4FAC4	4.26,,10136.36
A4FAD7	5.54,,64982.65
A4FAF3	5.3,,69371.54
A4FAH9	5.38,,36964.18
A4FAK3	4.76,,25879.19
A4FAK6	5.22,,101097.65
A4FAP2	5.09,,26280.91
A4FAP3	4.77,,28947.46
A4FAT2	5.09,,15901.69
A4FB27	8.14,,19611.06
A4FBB3	8.11,,85642.79
A4FBC4	4.68,,44535.32
A4FBD3	5.51,,95701.88
A4FBI4	4.72,,41751
A4FBP1	5.02,,72327.15
A4FBQ8	5.49,,43475.33
A4FBR0	3.98,,14735.4
A4FBX6	4.84,,66124.46
A4FBY4	6.38,,51253.84
A4FC08	4.61,,40052.19
A4FC51	5.71,,49713.84
A4FCQ4	5.36,,22709.9
A4FCW1	5.22,,253245.54
A4FD29	6,,26543.43
A4FDM8	5.11,,435358.14
A4FDV0	5.28,,20434.11
A4FDV3	5.18,,66996.19
A4FDX2	5.12,,99827.51
A4FE67	5.11,,24100.09
A4FEJ5	4.67,,29379.93
A4FER8	11.52,,9672.4
A4FES9	5.64,,49496.32
A4FET2	5.33,,51678.24
A4FEW8	4.9,,26332.84
A4FF50	5.03,,57399.69
A4FF68	5.34,,46339.31
A4FF97	6.52,,25357.61
A4FFD6	7.79,,45272.12
A4FFJ7	5.18,,41119.37
A4FFV0	5.99,,111139.51
A4FG56	6.02,,58828.6
A4FG72	5.59,,53373.25
A4FGD8	5.36,,103117.17
A4FGG8	5.08,,7204.02
A4FGJ5	4.81,,35158.62
A4FGJ7	4.84,,64619.52
A4FH07	5.13,,44987.23
A4FH16	5.99,,129557.38
A4FH84	4.87,,365615.94
A4FHF0	11.05,,28149.11
A4FHI1	5.29,,198172.62
A4FHN5	6.47,,62341.08
A4FHR3	5.31,,46084.41
A4FHU9	9.96,,13169.01
A4FIF5	4.99,,50047.61
A4FIQ4	5.96,,32605.7
A4FIR1	4.77,,80278.18
A4FJJ5	10.96,,17682.49
A4FJU5	9.59,,18269.72
A4FK75	5.51,,34049.8
A4FKG8	9.51,,7160.16
A4FKH5	6.47,,92416.86
A4FKK6	5.09,,66753.61
A4FKK9	5.96,,86327.22
A4FKM7	5.16,,23552.36
A4FKN3	7.12,,29992.19
A4FKU9	4.95,,22592.01
A4FKW8	6.95,,114912.19
A4FKX2	4.91,,891234.55
A4FKX6	5.24,,1260340.56
A4FL79	6.5,,30943.54
A4FLD8	5.18,,50573.51
A4FLI8	5.63,,87098.34
A4FLP4	5.11,,5774.77
A4FLT1	4.83,,10719.58
A4FLT9	5.01,,29769.77
A4FLU1	5.14,,23601.09
A4FLU4	4.71,,50603.68
A4FM34	9.32,,106676.54
A4FM62	4.77,,130509.86
A4FMD6	5.07,,28975.82
A4FME7	10.89,,13315.32
A4FMF1	6.77,,16202.34
A4FMJ9	10.53,,6798.85
A4FML6	5.22,,121713.86
A4FMN8	5.7,,84413.08
A4FMQ3	4.96,,55168.84
A4FMQ5	4.96,,35710.34
A4FMR9	4.94,,53753.74
A4FMU4	4.8,,32366.63
A4FMU5	4.89,,27218.91
A4FMY9	5.53,,64106.21
A4FN01	9.17,,22154.21
A4FN27	4.8,,49969.72
A4FN29	4.89,,59010.64
A4FN31	4.99,,19492
A4FN42	9.06,,70329.02
A4FN70	6.34,,57484.24
A4FN85	5.04,,43840.6
A4FNA3	9.51,,28681.31
A4FNB7	6.28,,46689.56
A4FND0	5.94,,132529.01
A4FNH5	5.07,,25984.95
A4FNI7	5.44,,106692.24
A4FNJ6	8.78,,98832.28
A4FNK4	4.74,,47922.06
A4FNL5	6.78,,19446.57
A4FNN8	4.85,,81027.88
A4FNQ9	6.49,,63692.12
A4FNX4	9.16,,16147.14
A4FP30	5.09,,6922.68
A4FP45	4.37,,97084.35
A4FP58	8.08,,30556.1
A4FP59	5.61,,29574.75
A4FP81	4.85,,50317.04
A4FP82	8.94,,52900.13
A4FP99	5.35,,52495.88
A4FPA4	7,,37713.57
A4FPA5	4.97,,56780.99
A4FPA6	4.78,,10231.64
A4FPC7	5.2,,32842.82
A4FPD9	12.26,,7412.03
A4FPI2	5.88,,49371.25
A4FPJ2	4.57,,38692.62
A4FPL9	10.45,,32814.94
A4FPM0	11.24,,15303.57
A4FPM6	9.61,,11516.42
A4FPM7	5.09,,44041.24
A4FPQ5	5.5,,45413.9
A4FPS4	5.42,,31053.25
A4FPS6	4.54,,50079.97
A4FPT8	5.32,,49798.17
A4FPT9	4.82,,27642.9
A4FPW7	5.72,,60914.81
A4FPX2	9.5,,23736.09
A4FPY3	4.78,,32656.15
A4FQ00	4.35,,48991.85
A4FQ07	5.1,,18910.32
A4FQ59	6.3,,79114.54
A4FQ74	5.25,,71136.13
A4FQE0	4.8,,31424.62
A4FQE1	4.54,,10179.17
A4FQF3	3.96,,4272.32
A4FQL5	9.04,,21225.1
A4FQP3	4.73,,66499.5
A4FQQ3	5.48,,81317.57
A4FQV0	4.73,,12344.05
A4FQV7	4.88,,67839.71
A4FR03	5.45,,73218.74
A4FR20	5.56,,23146.32
A4FR32	9.39,,13408.4
A4FR37	5.12,,115850.38
A4FR43	4.51,,48181.77
A4FR48	5.51,,24319.39
A4FR54	5.01,,107406.36
A4FR66	4.51,,11650.45
A4GZC4	9.94,,53353.34
A4VUK1	5.08,,45612.69
A4VYN7	5.13,,10372.61
A4VYQ9	10.05,,17154.87
A4VZM2	4.72,,12867.41
A4VZZ3	4.86,,44046.75
A4W6D5	4.78,,69433.13
A5A547	5.35,,71954.1
A5A6E0	9.61,,12555.11
A5A6E1	9.61,,12597.19
A5F2R1	9.37,,37603.72
A5F2S8	6.28,,22809.97
A5F5X0	7.16,,45357.16
A5F5Y7	6.4,,27488.13
A5TY85	10.63,,45597.04
A5U1J9	4.82,,25661
A6QEJ9	4.81,,76615.44
A6QEK0	4.74,,43103.64
A6QES8	8,,14586.81
A6QF82	5.17,,42601.77
A6QFE3	4.83,,54670.41
A6QFH3	4.83,,49808.14
A6QG89	5.03,,21023.27
A6QGC0	5.76,,74363.4
A6QGJ4	4.9,,99903.62
A6QGZ6	5.9,,13150.77
A6QH73	4.75,,20554.07
A6QHF1	4.53,,17742.88
A6QHF8	4.75,,10303.5
A6QHI6	5.04,,47235.25
A6QHK1	5.38,,46388.08
A6QHK8	4.55,,46297.48
A6QHX1	5.74,,59377.36
A6QIV7	5.75,,45172.29
A6QIW4	8.02,,9722.91
A6QJ77	9.54,,19786.55
A6QJ80	9.32,,20266.61
A6QJK3	5.87,,25957.92
A6QJK4	6.7,,52374.92
A6QK93	4.92,,33054.57
A6T6C0	5.43,,41287.31
A6T751	5.52,,36016.11
A6T8G6	5.46,,53530.93
A6TDR7	5.19,,39815.43
A6TEX7	5.29,,43246.45
A6TGC6	9.51,,7741.9
A6THD2	5.61,,25716.85
A7FKP6	5.62,,28358.02
A7HD43	6.21,,41940.85
A7HD44	5.07,,25851.61
A7K468	5.15,,59513.27
A7K6K8	5.22,,22965.09
A7MRY4	6.62,,96107.88
A7MVC1	4.61,,12689.35
A7MVC2	5.81,,50458.76
A7N3Z3	5.14,,96914.74
A7N6S2	5.37,,77798.58
A7X5Y5	5.87,,25945.87
A7X5Y6	6.72,,52385.91
A7Z0L6	5.12,,53773.51
A7Z0N4	4.79,,76534.61
A7Z0R1	6.83,,8213.57
A7Z4N7	4.9,,29056.24
A7Z4S1	5.24,,32306.76
A7Z7J8	5.06,,33567.49
A7Z8Y1	4.68,,46617.46
A7ZPV7	5.65,,47029.44
A7ZR34	5.08,,41118.22
A7ZRX6	5.44,,53987.18
A7ZSL4	5.3,,43283.55
A8ACN8	5.8,,55279.13
A8AD18	6.47,,33801.97
A8AD67	5.54,,15598.57
A8AG06	6.07,,30794.5
A8AMQ1	4.9,,20578.32
A8ANQ0	8.16,,6855.89
A8AQ65	5.46,,47612.53
A8AQK7	9.64,,9692.39
A8G8E8	6.76,,155223.7
A9QSH6	6.58,,33801.15
B0LF85	5.95,,96228.4
B0R2Y8	4.33,,32213.72
B0R319	4.08,,15358.74
B0R347	4.4,,60132.01
B0R351	4.35,,81173.81
B0R396	4.45,,35441.04
B0R3E7	4,,37286.34
B0R3H4	3.94,,67396.98
B0R3H6	4.12,,23863.43
B0R3L0	4.25,,24950.39
B0R3T9	4.7,,40562.39
B0R424	4.3,,15839.58
B0R460	4.84,,17714.42
B0R4A4	3.53,,47176.58
B0R4C7	3.82,,12618.93
B0R4C8	4.81,,20450.82
B0R4E6	4.53,,47657.59
B0R4G7	4.51,,13915.17
B0R4K1	4.26,,13305.22
B0R4M9	4.37,,52766.6
B0R4U7	4.59,,11543.12
B0R4X6	4.36,,68052.82
B0R4Y1	6.05,,13442.02
B0R4Y4	4.48,,15893.7
B0R502	4.37,,18064.81
B0R507	4.25,,21974.89
B0R5A2	3.58,,7732.01
B0R5B6	4.61,,33632.19
B0R5T1	4.58,,49439.1
B0R5V7	4.49,,29665.85
B0R639	10.06,,13514.94
B0R656	5.67,,36568.73
B0R669	4.66,,19506.51
B0R673	4.67,,26031.28
B0R6B9	4.19,,10489.2
B0R6E4	11.43,,29574.63
B0R6J7	4.08,,46309.13
B0R6K8	4.27,,53179.12
B0R6N0	4.48,,38534.65
B0R6N9	4.32,,24206.97
B0R6U9	4.29,,67916.46
B0R6V4	8.01,,13617.12
B0R716	4.37,,49756.74
B0R718	4.08,,58788.71
B0R730	5.21,,44883.89
B0R733	4.2,,8922.8
B0R740	4.21,,34209.7
B0R758	4.01,,21782.48
B0R761	4.02,,12202.94
B0R7B7	4.41,,47981.79
B0R7B9	4.25,,56055.5
B0R7D2	4.01,,58668.64
B0R7F9	4.41,,54179.15
B0R7G0	5.55,,27215.95
B0R7H4	4.34,,47068.98
B0R7J8	4.55,,72577.36
B0R7N5	4.84,,49641.15
B0R7N9	4.36,,68955.31
B0R7X8	4.68,,10223.23
B0R809	4.93,,11697.78
B0R827	4.18,,60523.78
B0R854	11.46,,11400.21
B0R868	4.38,,10715.89
B0R894	4.24,,67124.73
B0R895	4.29,,56637.13
B0R8C3	4.38,,45479.3
B0R8C8	4.4,,80396.71
B0R8D1	9.91,,15488.77
B0R9W9	4.42,,34396.27
B0R9X0	4.39,,16917.91
B0R9Z1	4.01,,49098.77
B0RSD3	5.12,,86227.25
B0RVK5	5.29,,48922.31
B0RY12	5.32,,30476
B0VCC7	6.51,,82423.64
B0VKB2	8.54,,11196.66
B0VKC5	5.04,,16773.36
B0VKH6	8.99,,19457.53
B0VKN4	5.34,,100107.79
B0VKN8	5.64,,60711.47
B0VKV8	9.34,,112399.24
B0VL30	5.94,,37750.12
B0VL49	5.71,,25960.37
B0VLB4	6.3,,32309.4
B0VLB7	5.22,,85620.43
B0VLI7	7.38,,148096.25
B0VLL5	5.53,,59676.47
B0VLN6	6.15,,34833.53
B0VLP7	5.66,,32900.39
B0VLP9	5.49,,31191.89
B0VLR9	6.4,,47748.87
B0VLS2	5.77,,141099.87
B0VLT3	8.83,,56351.66
B0VLV5	6.31,,27019.17
B0VLX0	5.59,,29817.13
B0VLX4	5.85,,77800.08
B0VLX9	9.25,,29260.96
B0VLY6	9.42,,10513.97
B0VLZ5	7.02,,155119.85
B0VM09	10.12,,8992.43
B0VM15	NA
B0VM17	NA
B0VM27	NA
B0VM34	NA
B0VM40	NA
B0VM41	NA
B0VM47	NA
B0VM50	NA
B0VM65	NA
B0VM70	NA
B0VM78	NA
B0VMA3	NA
B0VMG0	NA
B0VMK3	NA
B0VMK6	NA
B0VMK7	NA
B0VMM1	NA
B0VMQ4	NA
B0VMU1	NA
B0VMU5	NA
B0VMV0	NA
B0VMX7	NA
B0VMY0	NA
B0VMZ1	NA
B0VN00	NA
B0VN01	NA
B0VN09	NA
B0VN34	NA
B0VN61	NA
B0VN84	NA
B0VNB3	NA
B0VNB8	NA
B0VND0	NA
B0VND4	NA
B0VNF4	NA
B0VNK2	NA
B0VNK4	NA
B0VNK8	NA
B0VNW5	NA
B0VNW6	NA
B0VNW9	NA
B0VNX2	NA
B0VP28	NA
B0VP32	NA
B0VP39	NA
B0VP54	NA
B0VP87	NA
B0VP88	NA
B0VP98	NA
B0VPA7	NA
B0VPB1	NA
B0VPD8	NA
B0VPF0	NA
B0VPG4	NA
B0VPG9	NA
B0VPH0	NA
B0VPH3	NA
B0VPK0	NA
B0VPK8	NA
B0VPL2	NA
B0VPL3	NA
B0VPL4	NA
B0VPN2	NA
B0VPS1	NA
B0VPZ3	NA
B0VQ03	NA
B0VQ05	NA
B0VQ41	NA
B0VQ52	NA
B0VQ53	NA
B0VQ75	NA
B0VQ84	NA
B0VQ97	NA
B0VQI4	NA
B0VQI5	NA
B0VQI6	NA
B0VQJ8	NA
B0VQK7	NA
B0VQL2	NA
B0VQM1	NA
B0VQN1	NA
B0VQV5	NA
B0VQW4	NA
B0VQX4	NA
B0VQZ5	NA
B0VR06	NA
B0VR12	NA
B0VR17	NA
B0VR18	NA
B0VR25	NA
B0VR59	NA
B0VR79	NA
B0VRB4	NA
B0VRC9	NA
B0VRD1	NA
B0VRG2	NA
B0VRH0	NA
B0VRH4	NA
B0VRH6	NA
B0VRJ0	NA
B0VRK6	NA
B0VRK7	NA
B0VRK9	NA
B0VRL3	NA
B0VRL9	NA
B0VRN3	NA
B0VRN5	NA
B0VRN8	NA
B0VRN9	NA
B0VRW1	NA
B0VRX0	NA
B0VRX4	NA
B0VRZ6	NA
B0VS13	NA
B0VSA2	NA
B0VSA6	NA
B0VSB0	NA
B0VSC3	NA
B0VSC6	NA
B0VSC7	NA
B0VSG3	NA
B0VSH0	NA
B0VSK6	NA
B0VSK9	NA
B0VSL1	NA
B0VSM6	NA
B0VSP4	NA
B0VSP5	NA
B0VSP8	NA
B0VSR1	NA
B0VT26	NA
B0VT30	NA
B0VT37	NA
B0VT43	NA
B0VT50	NA
B0VT51	NA
B0VT70	NA
B0VT89	NA
B0VTA3	NA
B0VTE3	NA
B0VTE4	NA
B0VTE7	NA
B0VTF2	NA
B0VTG3	NA
B0VTG4	NA
B0VTG5	NA
B0VTG6	NA
B0VTG7	NA
B0VTK7	NA
B0VTL0	NA
B0VTL8	NA
B0VTN8	NA
B0VTP6	NA
B0VTQ1	NA
B0VTR7	NA
B0VTW8	NA
B0VTY1	NA
B0VTY5	NA
B0VU03	NA
B0VU34	NA
B0VU36	NA
B0VU39	NA
B0VU92	NA
B0VUG0	NA
B0VUH1	NA
B0VUQ9	NA
B0VUR7	NA
B0VUS6	NA
B0VUT0	NA
B0VUT7	NA
B0VUU5	NA
B0VUU9	NA
B0VUW0	NA
B0VUW1	NA
B0VUX3	NA
B0VV27	NA
B0VV34	NA
B0VVA3	NA
B0VVG9	NA
B1LJZ7	NA
B1XHQ1	NA
B1XHR0	NA
B1XHU3	NA
B1XHV3	NA
B1XHW1	NA
B1XHX8	NA
B1XHY8	NA
B1XI00	NA
B1XI15	NA
B1XI23	NA
B1XI27	NA
B1XI34	NA
B1XI63	NA
B1XI89	NA
B1XIB1	NA
B1XID3	NA
B1XID9	NA
B1XIJ8	NA
B1XIQ3	NA
B1XIR1	NA
B1XIS1	NA
B1XIT7	NA
B1XIX5	NA
B1XIY4	NA
B1XIZ9	NA
B1XJ00	NA
B1XJ06	NA
B1XJ17	NA
B1XJ56	NA
B1XJ57	NA
B1XJ60	NA
B1XJC1	NA
B1XJE1	NA
B1XJG5	NA
B1XJH2	NA
B1XJH3	NA
B1XJI0	NA
B1XJI9	NA
B1XJJ0	NA
B1XJJ1	NA
B1XJN0	NA
B1XJQ7	NA
B1XJR5	NA
B1XJV1	NA
B1XJV4	NA
B1XJZ4	NA
B1XK04	NA
B1XK65	NA
B1XK76	NA
B1XK81	NA
B1XK88	NA
B1XKC7	NA
B1XKC9	NA
B1XKD0	NA
B1XKD3	NA
B1XKD5	NA
B1XKE5	NA
B1XKF4	NA
B1XKJ1	NA
B1XKJ2	NA
B1XKK0	NA
B1XKK6	NA
B1XKL1	NA
B1XKL6	NA
B1XKL7	NA
B1XKM6	NA
B1XKQ7	NA
B1XKR6	NA
B1XKS1	NA
B1XKU7	NA
B1XKV1	NA
B1XKZ7	NA
B1XL10	NA
B1XL15	NA
B1XL17	NA
B1XL18	NA
B1XL22	NA
B1XL29	NA
B1XL42	NA
B1XL66	NA
B1XLA1	NA
B1XLA3	NA
B1XLC0	NA
B1XLC6	NA
B1XLD2	NA
B1XLD5	NA
B1XLE2	NA
B1XLF2	NA
B1XLF8	NA
B1XLH5	NA
B1XLK6	NA
B1XLN4	NA
B1XLP9	NA
B1XLQ7	NA
B1XLT0	NA
B1XLU9	NA
B1XLZ0	NA
B1XLZ3	NA
B1XLZ7	NA
B1XM06	NA
B1XM21	NA
B1XM32	NA
B1XM44	NA
B1XM45	NA
B1XM81	NA
B1XM95	NA
B1XMD0	NA
B1XMF0	NA
B1XMF3	NA
B1XMF7	NA
B1XMG6	NA
B1XMJ1	NA
B1XMJ8	NA
B1XML7	NA
B1XMR4	NA
B1XMS4	NA
B1XMS5	NA
B1XMT9	NA
B1XMV9	NA
B1XMW3	NA
B1XMW4	NA
B1XMW7	NA
B1XMY8	NA
B1XN08	NA
B1XN10	NA
B1XN11	NA
B1XN19	NA
B1XN27	NA
B1XN32	NA
B1XN36	NA
B1XN39	NA
B1XN41	NA
B1XN46	NA
B1XN61	NA
B1XN69	NA
B1XN71	NA
B1XN87	NA
B1XN94	NA
B1XN95	NA
B1XNA5	NA
B1XNB5	NA
B1XNH1	NA
B1XNH3	NA
B1XNI7	NA
B1XNJ2	NA
B1XNM4	NA
B1XNP2	NA
B1XNQ8	NA
B1XNR2	NA
B1XNS5	NA
B1XNV2	NA
B1XNY5	NA
B1XNY8	NA
B1XP01	NA
B1XP17	NA
B1XP36	NA
B1XP38	NA
B1XP53	NA
B1XP61	NA
B1XP71	NA
B1XP78	NA
B1XP79	NA
B1XP80	NA
B1XP90	NA
B1XP95	NA
B1XPA6	NA
B1XPA7	NA
B1XPB6	NA
B1XPC5	NA
B1XPD4	NA
B1XPE2	NA
B1XPE7	NA
B1XPF4	NA
B1XPG7	NA
B1XPK2	NA
B1XPK3	NA
B1XPP4	NA
B1XPU9	NA
B1XPV1	NA
B1XPX6	NA
B1XPX8	NA
B1XQ64	NA
B1XQ68	NA
B1XQ75	NA
B1XQ85	NA
B1XQ92	NA
B1XQA7	NA
B1XQB2	NA
B1XQE5	NA
B1XQF1	NA
B1XQF2	NA
B1XQF6	NA
B1XQG3	NA
B1XQG5	NA
B1XQG8	NA
B1XQJ2	NA
B1XQL7	NA
B1XQM2	NA
B1XQP1	NA
B1XQQ7	NA
B1XQQ9	NA
B1XQR5	NA
B1XQS4	NA
B1XQV0	NA
B1XQW1	NA
B1XQX2	NA
B1XQX5	NA
B1XQZ6	NA
B1XR00	NA
B1XR14	NA
B1XR17	NA
B1XR21	NA
B1XR22	NA
B1XR35	NA
B1XR40	NA
B1XR47	NA
B1XR72	NA
B1XR86	NA
B1XRA0	NA
B1XRC9	NA
B1XRD7	NA
B1XRI4	NA
B1XRL8	NA
B1XRQ5	NA
B1XRQ6	NA
B2S753	NA
B2SB45	NA
B3GZ21	NA
B3KLX4	NA
B5F6V5	NA
B5XYF7	NA
B5XZ79	NA
B5Y275	NA
B5Y2E4	NA
B7LRJ8	NA
B7MDM9	NA
B7SCE5	NA
B7UM99	NA
B7UR12	NA
B8DE07	NA
B8GZM2	NA
C0H3R1	NA
C0H3T5	NA
C0H3T6	NA
C0H3V2	NA
C0H423	NA
C0H440	NA
C0H445	NA
C0H461	NA
C0LZQ0	NA
C0SP85	NA
C0SP93	NA
C0SPB6	NA
C0SPB8	NA
C1KVC0	NA
C1KW86	NA
C1KX21	NA
C1KYE1	NA
C1KYI2	NA
C1KYU1	NA
C1KZK7	NA
C3W947	NA
C5BGM2	NA
C8T007	NA
C8UMQ9	NA
D0WT66	NA
D0WX67	NA
D0WZ14	NA
D0X0H0	NA
D0X3A8	NA
D0X4G1	NA
D0ZV89	NA
D2BKU3	NA
D2BKU8	NA
D2BKY7	NA
D2BKZ2	NA
D2BLI2	NA
D2BM73	NA
D2BMX4	NA
D2BNL6	NA
D2BNM4	NA
D2BNR6	NA
D2BP55	NA
D2BQ68	NA
D2BRC3	NA
D4GUJ7	NA
D4GYZ1	NA
D4H071	NA
D5E6P6	NA
D5E6P9	NA
D5E6Y5	NA
D5E7U0	NA
D5E895	NA
D5E8U2	NA
D5E9H2	NA
D5E9V6	NA
D5E9V9	NA
D5E9Y3	NA
D5EAE2	NA
D5EB50	NA
D5EBE9	NA
D5EBU5	NA
D5EBX8	NA
E2JA29	NA
F2Z5W8	NA
F2Z5Y7	NA
F2Z5Z2	NA
F2Z692	NA
F2Z698	NA
F2Z6D2	NA
F2Z6F6	NA
F2Z6G3	NA
F6KV61	NA
F6KV62	NA
G2K046	NA
G2K047	NA
G3XD28	NA
G3XD31	NA
G3XD71	NA
G5EB01	NA
I6WXK4	NA
I6WYU2	NA
I6WZ58	NA
I6WZG6	NA
I6WZI4	NA
I6WZK7	NA
I6WZM9	NA
I6WZS4	NA
I6X540	NA
I6X5C9	NA
I6X5I7	NA
I6X5T4	NA
I6X6H8	NA
I6X7G4	NA
I6X7W8	NA
I6X827	NA
I6X8D2	NA
I6X961	NA
I6XF31	NA
I6XF52	NA
