Protein	ID,,Proteins Number,,Species Number,,Description
P42588	HOG000020206,,3408,,1217,,NA
P42632	HOG000011346,,515,,422,,NA
P42784	HOG000038766,,155,,55,,NA
P42919	HOG000232982,,1332,,1274,,NA
P42920	HOG000100368,,1309,,1279,,NA
P42924	HOG000231366,,631,,607,,NA
P42974	HOG000169462,,383,,368,,NA
P43261	HOG000217915,,10,,10,,NA
P43891	HOG000047187,,1266,,1214,,NA
P45359	HOG000012238,,1651,,881,,NA
P45395	HOG000264729,,881,,711,,NA
P45425	HOG000150087,,1920,,835,,NA
P45451	N/A,,N/A,,N/A,,N/A
P45500	HOG000049094,,1397,,1242,,NA
P45523	HOG000154888,,649,,361,,NA
P45545	HOG000125442,,55,,54,,NA
P45577	HOG000290843,,174,,173,,NA
P45578	HOG000040371,,210,,209,,NA
P45596	N/A,,N/A,,N/A,,N/A
P45618	HOG000224568,,264,,206,,NA
P45693	HOG000058331,,224,,160,,NA
P45694	HOG000225954,,956,,802,,NA
P45740	HOG000224484,,604,,579,,NA
P45742	HOG000260092,,108,,104,,NA
P45744	HOG000028185,,403,,353,,NA
P45745	HOG000229991,,723,,202,,NA
P45758	HOG000253751,,261,,232,,NA
P45848	HOG000120076,,30,,30,,NA
P45905	HOG000140762,,9,,4,,NA
P45913	N/A,,N/A,,N/A,,N/A
P45931	N/A,,N/A,,N/A,,N/A
P46215	HOG000246403,,671,,569,,NA
P46318	HOG000224223,,701,,310,,NA
P46323	HOG000270990,,434,,432,,NA
P46327	HOG000155731,,2,,2,,NA
P46338	HOG000074258,,202,,175,,NA
P46343	HOG000015043,,1106,,982,,NA
P46353	HOG000008159,,527,,514,,NA
P46354	HOG000045183,,684,,562,,NA
P46469	HOG000217277,,569,,425,,NA
P46787	HOG000231262,,1265,,1238,,NA
P46837	HOG000270497,,512,,509,,NA
P46889	HOG000010001,,116,,115,,NA
P46898	HOG000039903,,1269,,1234,,NA
P46899	HOG000248742,,1253,,1234,,NA
P46916	HOG000155705,,3,,3,,NA
P46917	HOG000082473,,2,,2,,NA
P46922	HOG000279301,,34,,32,,NA
P48372	HOG000076278,,1197,,1141,,NA
P48576	HOG000046859,,891,,796,,NA
P48949	HOG000157460,,947,,854,,NA
P49057	HOG000223965,,255,,198,,NA
P49433	HOG000071678,,1398,,787,,NA
P49814	HOG000213794,,440,,414,,NA
P49978	HOG000231248,,97,,96,,NA
P50308	HOG000236472,,464,,357,,NA
P50456	HOG000275182,,267,,136,,NA
P50610	N/A,,N/A,,N/A,,N/A
P50620	HOG000246165,,422,,389,,NA
P50735	HOG000243801,,1211,,526,,NA
P50736	HOG000024226,,123,,122,,NA
P50831	HOG000086904,,51,,50,,NA
P50840	HOG000040914,,250,,248,,NA
P50848	HOG000040803,,384,,360,,NA
P50849	HOG000218326,,893,,885,,NA
P50863	HOG000079915,,255,,229,,NA
P50866	HOG000010093,,1668,,1266,,NA
P51024	HOG000291627,,191,,189,,NA
P51831	N/A,,N/A,,N/A,,N/A
P51833	HOG000246808,,703,,688,,NA
P52042	HOG000131659,,4166,,756,,NA
P52046	HOG000027939,,3851,,771,,NA
P52143	HOG000009752,,40,,28,,NA
P52208	HOG000255147,,905,,754,,NA
P52231	HOG000292977,,2686,,1399,,NA
P52415	HOG000278604,,203,,105,,NA
P52688	N/A,,N/A,,N/A,,N/A
P52697	HOG000257418,,156,,142,,NA
P52934	N/A,,N/A,,N/A,,N/A
P52983	HOG000131425,,75,,68,,NA
P53383	N/A,,N/A,,N/A,,N/A
P53593	HOG000007059,,1445,,1080,,NA
P54123	N/A,,N/A,,N/A,,N/A
P54147	HOG000017735,,625,,392,,NA
P54156	HOG000008994,,9,,8,,NA
P54169	HOG000089065,,76,,75,,NA
P54170	HOG000034687,,182,,110,,NA
P54205	HOG000230831,,270,,201,,NA
P54206	HOG000141332,,140,,79,,NA
P54224	HOG000253896,,811,,696,,NA
P54304	HOG000015380,,484,,480,,NA
P54375	HOG000013583,,1071,,795,,NA
P54376	HOG000132025,,338,,331,,NA
P54380	HOG000264291,,829,,821,,NA
P54390	HOG000262040,,61,,60,,NA
P54394	HOG000041588,,110,,108,,NA
P54418	HOG000271471,,595,,542,,NA
P54419	HOG000245710,,1613,,1305,,NA
P54452	HOG000016502,,290,,288,,NA
P54460	HOG000007391,,565,,558,,NA
P54464	HOG000015154,,690,,685,,NA
P54465	HOG000291776,,56,,55,,NA
P54470	HOG000218052,,383,,339,,NA
P54471	HOG000014372,,271,,269,,NA
P54474	HOG000009033,,11,,10,,NA
P54496	HOG000272195,,308,,172,,NA
P54504	HOG000008785,,38,,12,,NA
P54514	HOG000262057,,46,,45,,NA
P54517	HOG000217278,,930,,825,,NA
P54523	HOG000012986,,340,,314,,NA
P54530	HOG000009438,,348,,271,,NA
P54555	HOG000218072,,199,,194,,NA
P54558	HOG000009018,,6,,6,,NA
P54597	HOG000008820,,9,,8,,NA
P54601	HOG000273707,,25,,23,,NA
P54616	N/A,,N/A,,N/A,,N/A
P54617	HOG000227268,,265,,205,,NA
P54691	HOG000276706,,850,,683,,NA
P54717	HOG000280226,,57,,47,,NA
P54735	HOG000054695,,2,,2,,NA
P54741	HOG000033839,,19,,8,,NA
P54947	HOG000184780,,1920,,755,,NA
P55038	HOG000031558,,517,,494,,NA
P55342	HOG000037986,,77,,76,,NA
P55872	HOG000035157,,1232,,1204,,NA
P55975	N/A,,N/A,,N/A,,N/A
P55981	N/A,,N/A,,N/A,,N/A
P55986	N/A,,N/A,,N/A,,N/A
P55989	N/A,,N/A,,N/A,,N/A
P55992	N/A,,N/A,,N/A,,N/A
P56069	N/A,,N/A,,N/A,,N/A
P56119	N/A,,N/A,,N/A,,N/A
P56123	N/A,,N/A,,N/A,,N/A
P56197	N/A,,N/A,,N/A,,N/A
P56258	HOG000249654,,120,,119,,NA
P56849	HOG000004838,,866,,637,,NA
P56970	HOG000133897,,1737,,1302,,NA
P57698	HOG000244113,,531,,504,,NA
P58070	HOG000245597,,541,,528,,NA
P58111	HOG000108633,,226,,95,,NA
P58121	HOG000231262,,1265,,1238,,NA
P58130	HOG000218231,,228,,227,,NA
P58176	HOG000216620,,98,,85,,NA
P58178	HOG000105163,,138,,96,,NA
P58191	HOG000009838,,15,,15,,NA
P58229	HOG000058004,,274,,194,,NA
P58233	HOG000049435,,920,,558,,NA
P58253	HOG000057639,,127,,121,,NA
P58255	HOG000009438,,348,,271,,NA
P58262	HOG000248049,,810,,793,,NA
P58297	HOG000254632,,313,,278,,NA
P58363	HOG000272667,,151,,150,,NA
P58384	HOG000280323,,115,,114,,NA
P58473	HOG000243130,,192,,186,,NA
P58694	HOG000226033,,673,,543,,NA
P58938	HOG000263206,,14,,14,,NA
P59107	HOG000271427,,166,,165,,NA
P59132	HOG000221003,,702,,690,,NA
P59184	HOG000210610,,1251,,1228,,NA
P59339	HOG000034816,,535,,282,,NA
P59393	HOG000219300,,287,,283,,NA
P59395	HOG000027939,,3851,,771,,NA
P59409	HOG000294686,,479,,362,,NA
P59444	HOG000266654,,402,,71,,NA
P59445	HOG000266649,,2591,,474,,NA
P59600	HOG000243769,,188,,187,,NA
P59609	HOG000230094,,241,,239,,NA
P59740	HOG000263604,,650,,563,,NA
P59746	HOG000225034,,315,,281,,NA
P60071	HOG000270156,,961,,487,,NA
P60294	HOG000278265,,151,,150,,NA
P60339	HOG000229290,,2011,,1346,,NA
P60357	HOG000040383,,254,,252,,NA
P60364	HOG000076290,,1958,,1332,,NA
P60365	HOG000076290,,1958,,1332,,NA
P60384	HOG000250065,,181,,172,,NA
P60422	HOG000232982,,1332,,1274,,NA
P60424	HOG000232982,,1332,,1274,,NA
P60429	HOG000232982,,1332,,1274,,NA
P60438	HOG000100368,,1309,,1279,,NA
P60440	HOG000100368,,1309,,1279,,NA
P60464	HOG000246181,,50,,50,,NA
P60546	HOG000037638,,616,,611,,NA
P60651	HOG000204320,,701,,486,,NA
P60718	HOG000235997,,761,,699,,NA
P60723	HOG000248766,,464,,462,,NA
P60752	N/A,,N/A,,N/A,,N/A
P60788	HOG000020624,,1433,,1335,,NA
P60908	HOG000018072,,961,,945,,NA
P60929	HOG000283806,,474,,469,,NA
P61055	HOG000248766,,464,,462,,NA
P61175	HOG000205046,,1240,,1217,,NA
P61177	HOG000205046,,1240,,1217,,NA
P61488	N/A,,N/A,,N/A,,N/A
P61490	N/A,,N/A,,N/A,,N/A
P61493	HOG000133897,,1737,,1302,,NA
P61517	HOG000125184,,470,,386,,NA
P61518	HOG000125184,,470,,386,,NA
P61887	HOG000283473,,950,,801,,NA
P61889	N/A,,N/A,,N/A,,N/A
P62399	HOG000231311,,1252,,1236,,NA
P62401	HOG000231311,,1252,,1236,,NA
P62622	HOG000261019,,651,,640,,NA
P62707	HOG000221682,,1292,,826,,NA
P62709	HOG000221682,,1292,,826,,NA
P62710	HOG000221682,,1292,,826,,NA
P62768	HOG000218419,,135,,134,,NA
P62769	HOG000218419,,135,,134,,NA
P62771	HOG000218419,,135,,134,,NA
P63020	HOG000137052,,251,,250,,NA
P63022	HOG000137052,,251,,250,,NA
P63180	HOG000218798,,1073,,1052,,NA
P63224	HOG000237571,,487,,435,,NA
P63284	HOG000218211,,1348,,965,,NA
P63285	HOG000218211,,1348,,965,,NA
P63390	HOG000271640,,468,,453,,NA
P63610	HOG000060335,,829,,815,,NA
P63634	HOG000262397,,275,,271,,NA
P63737	HOG000234582,,1107,,1034,,NA
P64074	HOG000072173,,542,,524,,NA
P64149	HOG000020881,,489,,477,,NA
P64258	HOG000275122,,669,,664,,NA
P64451	HOG000120597,,96,,90,,NA
P64455	HOG000267919,,72,,71,,NA
P64463	HOG000269957,,87,,85,,NA
P64469	HOG000219358,,247,,115,,NA
P64490	HOG000121164,,59,,58,,NA
P64581	HOG000256775,,423,,208,,NA
P64584	HOG000256775,,423,,208,,NA
P64611	HOG000125240,,66,,65,,NA
P65330	HOG000040372,,299,,293,,NA
P66025	HOG000074814,,1202,,1160,,NA
P66042	HOG000004852,,825,,817,,NA
P66054	HOG000082123,,1412,,1290,,NA
P66072	HOG000231262,,1265,,1238,,NA
P66125	HOG000111610,,1403,,1291,,NA
P66166	HOG000248755,,743,,740,,NA
P66221	HOG000004838,,866,,637,,NA
P66330	HOG000270244,,345,,342,,NA
P66372	HOG000040063,,1405,,1306,,NA
P66383	HOG000039879,,1244,,1223,,NA
P66484	HOG000111560,,1274,,1250,,NA
P66503	HOG000097049,,840,,834,,NA
P66607	HOG000039067,,1279,,1235,,NA
P66608	HOG000039067,,1279,,1235,,NA
P66611	HOG000039067,,1279,,1235,,NA
P66699	HOG000218480,,596,,579,,NA
P66794	HOG000219300,,287,,283,,NA
P66808	HOG000094755,,4083,,827,,NA
P67080	HOG000048983,,583,,411,,NA
P67176	HOG000228370,,1022,,990,,NA
P67911	HOG000167987,,392,,388,,NA
P68066	HOG000281256,,156,,155,,NA
P68067	HOG000281256,,156,,155,,NA
P68187	N/A,,N/A,,N/A,,N/A
P68191	HOG000267917,,55,,54,,NA
P68206	HOG000283480,,249,,229,,NA
P68567	HOG000218236,,270,,269,,NA
P68571	N/A,,N/A,,N/A,,N/A
P68575	HOG000154271,,3,,3,,NA
P68579	HOG000136512,,2,,2,,NA
P68681	HOG000157460,,947,,854,,NA
P68685	HOG000157460,,947,,854,,NA
P68918	HOG000277629,,201,,200,,NA
P69222	HOG000221323,,1327,,1218,,NA
P69224	HOG000221323,,1327,,1218,,NA
P69227	HOG000221323,,1327,,1218,,NA
P69409	HOG000034813,,6285,,953,,NA
P69410	HOG000034813,,6285,,953,,NA
P69428	HOG000245363,,652,,504,,NA
P69441	HOG000238772,,1744,,1342,,NA
P69503	HOG000036776,,1167,,1085,,NA
P69776	HOG000295473,,207,,143,,NA
P69783	HOG000224567,,215,,210,,NA
P69786	HOG000250993,,807,,439,,NA
P69791	HOG000224338,,738,,329,,NA
P69795	HOG000224223,,701,,310,,NA
P69797	HOG000140047,,240,,232,,NA
P69799	HOG000140047,,240,,232,,NA
P69807	HOG000098670,,329,,248,,NA
P69811	HOG000278131,,141,,140,,NA
P69824	HOG000227560,,453,,283,,NA
P69828	HOG000122110,,67,,64,,NA
P69829	HOG000227559,,422,,402,,NA
P69908	HOG000070228,,352,,222,,NA
P69910	HOG000070228,,352,,222,,NA
P69911	HOG000070228,,352,,222,,NA
P69913	HOG000020767,,549,,477,,NA
P69915	HOG000020767,,549,,477,,NA
P69923	HOG000249674,,126,,123,,NA
P69925	HOG000278087,,209,,204,,NA
P70949	HOG000063531,,804,,658,,NA
P70974	HOG000225286,,1251,,1233,,NA
P70976	HOG000244582,,72,,70,,NA
P70996	HOG000099797,,82,,80,,NA
P71005	HOG000033900,,4,,4,,NA
P71012	HOG000227678,,346,,308,,NA
P71021	HOG000048536,,256,,253,,NA
P71035	HOG000077770,,378,,360,,NA
P71036	HOG000249815,,309,,221,,NA
P71051	HOG000004334,,295,,233,,NA
P71055	HOG000114927,,46,,40,,NA
P71067	HOG000253321,,566,,416,,NA
P71073	HOG000262238,,28,,27,,NA
P71083	HOG000028521,,82,,81,,NA
P71086	HOG000014143,,1482,,648,,NA
P71088	HOG000294417,,131,,102,,NA
P71104	HOG000288398,,766,,639,,NA
P71447	N/A,,N/A,,N/A,,N/A
P71590	HOG000235804,,118,,117,,NA
P71594	HOG000041456,,9,,9,,NA
P71599	HOG000041511,,11,,11,,NA
P71622	HOG000220579,,6,,6,,NA
P71635	HOG000220572,,8,,8,,NA
P71640	HOG000220569,,24,,13,,NA
P71658	N/A,,N/A,,N/A,,N/A
P71668	HOG000152322,,926,,438,,NA
P71699	HOG000221455,,429,,198,,NA
P71707	HOG000041137,,1200,,712,,NA
P71737	HOG000187909,,345,,268,,NA
P71738	HOG000245644,,76,,75,,NA
P71741	HOG000243980,,423,,300,,NA
P71792	HOG000220587,,14,,9,,NA
P71890	HOG000220508,,7,,7,,NA
P71897	HOG000224931,,147,,131,,NA
P71977	HOG000107041,,2365,,599,,NA
P72062	HOG000272419,,763,,675,,NA
P72151	HOG000255144,,1044,,558,,NA
P72584	HOG000233491,,112,,86,,NA
P72585	HOG000168011,,555,,451,,NA
P72619	N/A,,N/A,,N/A,,N/A
P72641	HOG000238772,,1744,,1342,,NA
P72648	HOG000037640,,488,,363,,NA
P72655	N/A,,N/A,,N/A,,N/A
P72656	HOG000233194,,40,,40,,NA
P72659	HOG000218326,,893,,885,,NA
P72661	HOG000132447,,643,,513,,NA
P72673	N/A,,N/A,,N/A,,N/A
P72674	HOG000233119,,38,,38,,NA
P72689	HOG000076906,,946,,843,,NA
P72697	HOG000022344,,1607,,1037,,NA
P72705	HOG000024463,,61,,51,,NA
P72706	HOG000058079,,2,,2,,NA
P72721	HOG000232413,,115,,44,,NA
P72723	HOG000232413,,115,,44,,NA
P72738	HOG000170919,,298,,292,,NA
P72746	HOG000136246,,2010,,539,,NA
P72747	HOG000136246,,2010,,539,,NA
P72748	HOG000136246,,2010,,539,,NA
P72756	HOG000035849,,15,,15,,NA
P72757	HOG000035854,,19,,19,,NA
P72758	HOG000035853,,21,,21,,NA
P72760	HOG000286836,,650,,220,,NA
P72761	HOG000286836,,650,,220,,NA
P72781	HOG000034813,,6285,,953,,NA
P72788	HOG000054590,,8,,7,,NA
P72791	N/A,,N/A,,N/A,,N/A
P72797	HOG000281234,,689,,499,,NA
P72805	N/A,,N/A,,N/A,,N/A
P72815	HOG000035783,,27,,17,,NA
P72827	HOG000238624,,285,,273,,NA
P72835	HOG000255771,,776,,503,,NA
P72845	HOG000186907,,317,,302,,NA
P72849	HOG000233221,,224,,144,,NA
P72854	HOG000218417,,104,,97,,NA
P72864	HOG000023020,,546,,415,,NA
P72866	HOG000040097,,1250,,1224,,NA
P72870	HOG000233274,,180,,40,,NA
P72871	HOG000245710,,1613,,1305,,NA
P72877	N/A,,N/A,,N/A,,N/A
P72878	N/A,,N/A,,N/A,,N/A
P72884	N/A,,N/A,,N/A,,N/A
P72899	N/A,,N/A,,N/A,,N/A
P72932	HOG000220805,,266,,40,,NA
P72937	HOG000054485,,11,,11,,NA
P72940	HOG000228204,,596,,498,,NA
P72954	HOG000245633,,160,,146,,NA
P72965	HOG000233097,,52,,52,,NA
P72990	HOG000035852,,38,,36,,NA
P72998	HOG000234408,,3,,3,,NA
P73008	HOG000035791,,19,,19,,NA
P73010	HOG000245365,,694,,454,,NA
P73020	HOG000152424,,153,,105,,NA
P73035	HOG000058586,,5,,5,,NA
P73040	HOG000284682,,123,,107,,NA
P73053	HOG000153685,,24,,24,,NA
P73067	HOG000012986,,340,,314,,NA
P73091	N/A,,N/A,,N/A,,N/A
P73093	HOG000276584,,52,,26,,NA
P73117	HOG000049553,,398,,361,,NA
P73120	HOG000287219,,11,,11,,NA
P73122	N/A,,N/A,,N/A,,N/A
P73127	N/A,,N/A,,N/A,,N/A
P73152	N/A,,N/A,,N/A,,N/A
P73153	N/A,,N/A,,N/A,,N/A
P73154	HOG000054329,,6,,6,,NA
P73173	HOG000054940,,4,,4,,NA
P73193	HOG000060086,,208,,184,,NA
P73202	HOG000037252,,19,,19,,NA
P73203	HOG000276582,,61,,27,,NA
P73204	HOG000276582,,61,,27,,NA
P73207	N/A,,N/A,,N/A,,N/A
P73210	HOG000035781,,15,,15,,NA
P73218	HOG000041137,,1200,,712,,NA
P73240	N/A,,N/A,,N/A,,N/A
P73243	HOG000035684,,20,,20,,NA
P73253	HOG000037109,,15,,15,,NA
P73257	HOG000242744,,1320,,1178,,NA
P73273	HOG000265621,,1727,,739,,NA
P73274	HOG000200747,,866,,773,,NA
P73282	HOG000225953,,483,,340,,NA
P73290	HOG000260959,,1536,,1334,,NA
P73292	HOG000284895,,864,,852,,NA
P73294	HOG000225286,,1251,,1233,,NA
P73299	HOG000039879,,1244,,1223,,NA
P73304	HOG000072595,,1252,,1235,,NA
P73305	HOG000248742,,1253,,1234,,NA
P73307	HOG000204095,,1245,,1228,,NA
P73308	HOG000231311,,1252,,1236,,NA
P73314	HOG000210610,,1251,,1228,,NA
P73315	HOG000205046,,1240,,1217,,NA
P73317	HOG000232982,,1332,,1274,,NA
P73318	HOG000231366,,631,,607,,NA
P73321	N/A,,N/A,,N/A,,N/A
P73334	HOG000069393,,42,,42,,NA
P73370	HOG000054664,,10,,10,,NA
P73374	N/A,,N/A,,N/A,,N/A
P73375	HOG000046975,,461,,418,,NA
P73376	N/A,,N/A,,N/A,,N/A
P73380	HOG000054921,,10,,9,,NA
P73393	HOG000220806,,49,,28,,NA
P73404	HOG000034815,,4809,,1039,,NA
P73409	HOG000230479,,182,,40,,NA
P73411	HOG000046191,,972,,788,,NA
P73412	HOG000050448,,975,,916,,NA
P73418	HOG000043828,,2164,,1027,,NA
P73419	HOG000150979,,96,,86,,NA
P73451	HOG000134232,,201,,153,,NA
P73452	HOG000196388,,322,,216,,NA
P73455	HOG000254768,,687,,513,,NA
P73458	HOG000038766,,155,,55,,NA
P73469	HOG000035280,,18,,14,,NA
P73487	HOG000230085,,50,,46,,NA
P73488	HOG000276103,,57,,43,,NA
P73501	HOG000275418,,25,,24,,NA
P73505	HOG000246402,,1109,,1000,,NA
P73530	HOG000232530,,98,,57,,NA
P73534	HOG000021558,,920,,799,,NA
P73545	N/A,,N/A,,N/A,,N/A
P73552	HOG000035278,,60,,14,,NA
P73553	HOG000226782,,884,,844,,NA
P73563	HOG000220805,,266,,40,,NA
P73580	HOG000279960,,544,,540,,NA
P73581	HOG000035809,,19,,19,,NA
P73583	HOG000037333,,16,,16,,NA
P73589	N/A,,N/A,,N/A,,N/A
P73592	HOG000195939,,94,,79,,NA
P73596	HOG000195939,,94,,79,,NA
P73597	HOG000259472,,281,,236,,NA
P73607	HOG000270156,,961,,487,,NA
P73609	HOG000115342,,2,,2,,NA
P73617	HOG000230451,,1142,,1101,,NA
P73632	HOG000011593,,596,,570,,NA
P73648	HOG000268678,,1060,,1043,,NA
P73652	HOG000035784,,16,,16,,NA
P73654	HOG000237802,,51,,31,,NA
P73701	HOG000037136,,17,,12,,NA
P73704	HOG000008198,,36,,16,,NA
P73705	HOG000058618,,19,,13,,NA
P73707	HOG000219438,,262,,48,,NA
P73721	N/A,,N/A,,N/A,,N/A
P73722	HOG000232168,,544,,518,,NA
P73728	N/A,,N/A,,N/A,,N/A
P73736	HOG000035255,,22,,18,,NA
P73746	HOG000233197,,39,,39,,NA
P73755	HOG000218045,,574,,545,,NA
P73765	HOG000036751,,12,,12,,NA
P73801	N/A,,N/A,,N/A,,N/A
P73810	HOG000004020,,400,,392,,NA
P73821	HOG000136693,,600,,545,,NA
P73823	HOG000035691,,13,,13,,NA
P73824	HOG000277053,,523,,404,,NA
P73826	N/A,,N/A,,N/A,,N/A
P73833	HOG000025603,,163,,122,,NA
P73834	N/A,,N/A,,N/A,,N/A
P73849	HOG000232676,,183,,173,,NA
P73866	HOG000244102,,532,,504,,NA
P73867	HOG000244113,,531,,504,,NA
P73876	HOG000234104,,18,,18,,NA
P73886	HOG000087629,,1018,,1003,,NA
P73922	HOG000241252,,616,,530,,NA
P73926	HOG000008185,,2,,2,,NA
P73930	HOG000036278,,864,,854,,NA
P73933	N/A,,N/A,,N/A,,N/A
P73953	HOG000230480,,13,,13,,NA
P73954	N/A,,N/A,,N/A,,N/A
P73960	HOG000021112,,929,,887,,NA
P73973	HOG000216358,,332,,246,,NA
P73982	N/A,,N/A,,N/A,,N/A
P73985	N/A,,N/A,,N/A,,N/A
P73998	HOG000158129,,1537,,545,,NA
P74002	N/A,,N/A,,N/A,,N/A
P74007	HOG000018301,,300,,282,,NA
P74020	HOG000037085,,3,,3,,NA
P74027	HOG000268681,,197,,164,,NA
P74044	HOG000232614,,69,,40,,NA
P74057	HOG000153661,,1173,,685,,NA
P74074	HOG000037098,,20,,13,,NA
P74078	N/A,,N/A,,N/A,,N/A
P74102	N/A,,N/A,,N/A,,N/A
P74106	HOG000224612,,1103,,1038,,NA
P74122	HOG000022797,,514,,493,,NA
P74126	HOG000035678,,17,,17,,NA
P74135	N/A,,N/A,,N/A,,N/A
P74142	HOG000232530,,98,,57,,NA
P74153	HOG000263533,,445,,429,,NA
P74157	HOG000035743,,16,,16,,NA
P74175	HOG000233087,,31,,25,,NA
P74176	N/A,,N/A,,N/A,,N/A
P74182	HOG000035502,,24,,20,,NA
P74184	HOG000054623,,6,,6,,NA
P74186	HOG000035608,,21,,21,,NA
P74189	HOG000035611,,17,,17,,NA
P74195	HOG000228642,,167,,31,,NA
P74210	HOG000234312,,18,,17,,NA
P74214	HOG000036164,,1157,,1138,,NA
P74216	HOG000041137,,1200,,712,,NA
P74226	HOG000270246,,997,,980,,NA
P74227	HOG000229290,,2011,,1346,,NA
P74229	HOG000039067,,1279,,1235,,NA
P74230	HOG000040063,,1405,,1306,,NA
P74233	HOG000035487,,22,,22,,NA
P74236	HOG000228513,,37,,35,,NA
P74241	HOG000069044,,304,,284,,NA
P74242	HOG000233070,,33,,33,,NA
P74251	HOG000054287,,6,,6,,NA
P74275	HOG000253910,,42,,42,,NA
P74281	HOG000171814,,593,,483,,NA
P74282	HOG000036814,,8,,8,,NA
P74296	HOG000292087,,456,,454,,NA
P74297	HOG000035219,,20,,20,,NA
P74299	HOG000238647,,430,,415,,NA
P74305	HOG000001703,,388,,354,,NA
P74308	HOG000250272,,3116,,800,,NA
P74309	HOG000073502,,87,,86,,NA
P74314	HOG000034819,,7735,,1099,,NA
P74326	HOG000270156,,961,,487,,NA
P74334	HOG000254835,,215,,138,,NA
P74335	HOG000247050,,100,,55,,NA
P74339	HOG000037310,,18,,18,,NA
P74350	HOG000035913,,16,,16,,NA
P74352	N/A,,N/A,,N/A,,N/A
P74360	N/A,,N/A,,N/A,,N/A
P74361	HOG000218211,,1348,,965,,NA
P74390	HOG000202643,,184,,118,,NA
P74409	HOG000062295,,1146,,826,,NA
P74413	HOG000022609,,10,,10,,NA
P74419	HOG000054796,,3,,3,,NA
P74421	HOG000227107,,1121,,989,,NA
P74426	HOG000232613,,102,,40,,NA
P74427	N/A,,N/A,,N/A,,N/A
P74433	HOG000233779,,49,,42,,NA
P74444	HOG000069353,,5,,5,,NA
P74447	N/A,,N/A,,N/A,,N/A
P74448	HOG000035291,,17,,12,,NA
P74450	HOG000054263,,6,,6,,NA
P74451	HOG000035357,,9,,9,,NA
P74457	HOG000047187,,1266,,1214,,NA
P74461	HOG000158131,,448,,330,,NA
P74463	HOG000008425,,960,,546,,NA
P74466	HOG000285833,,2001,,1281,,NA
P74474	HOG000054941,,3,,3,,NA
P74485	HOG000129767,,43,,41,,NA
P74486	N/A,,N/A,,N/A,,N/A
P74494	HOG000224564,,788,,532,,NA
P74499	N/A,,N/A,,N/A,,N/A
P74503	HOG000230416,,93,,78,,NA
P74507	HOG000223664,,758,,715,,NA
P74510	HOG000281566,,802,,556,,NA
P74512	HOG000250397,,2056,,1226,,NA
P74518	HOG000074929,,73,,59,,NA
P74534	HOG000054774,,8,,7,,NA
P74537	HOG000054551,,10,,10,,NA
P74541	HOG000034819,,7735,,1099,,NA
P74551	HOG000233274,,180,,40,,NA
P74566	HOG000037266,,10,,10,,NA
P74572	HOG000230247,,1078,,762,,NA
P74582	HOG000205991,,437,,428,,NA
P74618	HOG000256282,,232,,229,,NA
P74640	HOG000288735,,173,,135,,NA
P74643	HOG000268677,,357,,350,,NA
P74658	HOG000088111,,3,,3,,NA
P74662	N/A,,N/A,,N/A,,N/A
P74667	HOG000220467,,151,,148,,NA
P74682	N/A,,N/A,,N/A,,N/A
P74689	HOG000173155,,1308,,1069,,NA
P74690	N/A,,N/A,,N/A,,N/A
P74694	HOG000035822,,18,,18,,NA
P74698	HOG000037352,,13,,13,,NA
P74702	HOG000031986,,101,,101,,NA
P74713	HOG000080852,,3,,3,,NA
P74720	HOG000014864,,86,,73,,NA
P74729	HOG000168002,,135,,116,,NA
P74737	HOG000264120,,1262,,1196,,NA
P74739	HOG000014143,,1482,,648,,NA
P74745	N/A,,N/A,,N/A,,N/A
P74747	HOG000232680,,30,,27,,NA
P74749	HOG000287637,,5,,5,,NA
P74754	HOG000276596,,38,,30,,NA
P74769	HOG000232553,,31,,31,,NA
P74772	HOG000050979,,18,,16,,NA
P74776	N/A,,N/A,,N/A,,N/A
P74781	HOG000259289,,461,,369,,NA
P75033	N/A,,N/A,,N/A,,N/A
P75039	N/A,,N/A,,N/A,,N/A
P75049	N/A,,N/A,,N/A,,N/A
P75050	N/A,,N/A,,N/A,,N/A
P75061	N/A,,N/A,,N/A,,N/A
P75080	N/A,,N/A,,N/A,,N/A
P75089	N/A,,N/A,,N/A,,N/A
P75090	N/A,,N/A,,N/A,,N/A
P75093	N/A,,N/A,,N/A,,N/A
P75120	N/A,,N/A,,N/A,,N/A
P75136	N/A,,N/A,,N/A,,N/A
P75159	N/A,,N/A,,N/A,,N/A
P75161	N/A,,N/A,,N/A,,N/A
P75170	N/A,,N/A,,N/A,,N/A
P75172	N/A,,N/A,,N/A,,N/A
P75187	N/A,,N/A,,N/A,,N/A
P75205	N/A,,N/A,,N/A,,N/A
P75206	N/A,,N/A,,N/A,,N/A
P75207	N/A,,N/A,,N/A,,N/A
P75223	N/A,,N/A,,N/A,,N/A
P75231	N/A,,N/A,,N/A,,N/A
P75245	N/A,,N/A,,N/A,,N/A
P75250	N/A,,N/A,,N/A,,N/A
P75258	N/A,,N/A,,N/A,,N/A
P75264	N/A,,N/A,,N/A,,N/A
P75271	N/A,,N/A,,N/A,,N/A
P75277	N/A,,N/A,,N/A,,N/A
P75293	N/A,,N/A,,N/A,,N/A
P75301	N/A,,N/A,,N/A,,N/A
P75309	N/A,,N/A,,N/A,,N/A
P75310	N/A,,N/A,,N/A,,N/A
P75313	N/A,,N/A,,N/A,,N/A
