Protein	Description
P66072	ECOO157:RPLO-MONOMER
P66125	LMON169963:LMO1540-MONOMER
P66166	LMON169963:LMO2624-MONOMER
P66221	LMON169963:LMO0244-MONOMER
P66330	LMON169963:LMO2633-MONOMER
P66372	LMON169963:LMO2656-MONOMER
P66383	LMON169963:LMO2608-MONOMER
P66484	LMON169963:LMO2628-MONOMER
P66503	LMON169963:LMO1480-MONOMER
P66607	ECOO157:RPSG-MONOMER
P66608	N/A
P66611	LMON169963:LMO2655-MONOMER
P66699	LMON169963:LMO2606-MONOMER
P66794	ECOO157:SELD-MONOMER
P66808	MBOV233413:G1GT4-3418-MONOMER
P67080	EcoCyc:G7527-MONOMER;;ECOL316407:JW2918-MONOMER
P67176	ECOO157:YEBC-MONOMER
P67911	ECOO157:RFAD-MONOMER
P68066	EcoCyc:EG11784-MONOMER;;ECOL316407:JW2563-MONOMER
P68067	N/A
P68187	EcoCyc:MALK-MONOMER;;ECOL316407:JW3995-MONOMER;;MetaCyc:MALK-MONOMER
P68191	EcoCyc:EG11508-MONOMER;;ECOL316407:JW5962-MONOMER;;MetaCyc:EG11508-MONOMER
P68206	EcoCyc:EG11928-MONOMER;;ECOL316407:JW4005-MONOMER
P68567	EcoCyc:EG12233-MONOMER;;ECOL316407:JW5672-MONOMER;;MetaCyc:EG12233-MONOMER
P68571	BSUB:BSU21440-MONOMER
P68575	BSUB:BSU20420-MONOMER
P68579	BSUB:BSU21470-MONOMER
P68681	ECOO157:RPSU-MONOMER
P68685	N/A
P68918	N/A
P69222	EcoCyc:EG10504-MONOMER;;ECOL316407:JW0867-MONOMER
P69224	ECOO157:INFA-MONOMER
P69227	N/A
P69409	ECOO157:RCSB-MONOMER
P69410	N/A
P69428	EcoCyc:TATA;;ECOL316407:JW3813-MONOMER;;MetaCyc:TATA
P69441	EcoCyc:ADENYL-KIN-MONOMER;;ECOL316407:JW0463-MONOMER;;MetaCyc:ADENYL-KIN-MONOMER
P69503	EcoCyc:ADENPRIBOSYLTRAN-MONOMER;;ECOL316407:JW0458-MONOMER;;MetaCyc:ADENPRIBOSYLTRAN-MONOMER
P69776	EcoCyc:EG10544-MONOMER;;ECOL316407:JW1667-MONOMER
P69783	EcoCyc:CRR-MONOMER;;ECOL316407:JW2410-MONOMER;;MetaCyc:CRR-MONOMER
P69786	EcoCyc:PTSG-MONOMER;;ECOL316407:JW1087-MONOMER;;MetaCyc:PTSG-MONOMER
P69791	EcoCyc:CELC-MONOMER;;ECOL316407:JW1725-MONOMER;;MetaCyc:CELC-MONOMER
P69795	EcoCyc:CELA-MONOMER;;ECOL316407:JW1727-MONOMER;;MetaCyc:CELA-MONOMER
P69797	EcoCyc:MANX-MONOMER;;ECOL316407:JW1806-MONOMER;;MetaCyc:MANX-MONOMER
P69799	ECOO157:MANX-MONOMER
P69807	ECOO157:MANZ-MONOMER
P69811	EcoCyc:FRUB-MONOMER;;ECOL316407:JW2156-MONOMER;;MetaCyc:FRUB-MONOMER
P69824	EcoCyc:CMTB-MONOMER;;ECOL316407:JW2901-MONOMER;;MetaCyc:CMTB-MONOMER
P69828	EcoCyc:GATA-MONOMER;;ECOL316407:JW2078-MONOMER;;ECOL316407:JW2081-MONOMER;;MetaCyc:GATA-MONOMER
P69829	EcoCyc:EG11682-MONOMER;;ECOL316407:JW3171-MONOMER
P69908	EcoCyc:GLUTDECARBOXA-MONOMER;;ECOL316407:JW3485-MONOMER;;MetaCyc:GLUTDECARBOXA-MONOMER
P69910	EcoCyc:GLUTDECARBOXB-MONOMER;;ECOL316407:JW1488-MONOMER;;MetaCyc:GLUTDECARBOXB-MONOMER
P69911	ECOO157:GADB-MONOMER
P69913	EcoCyc:EG11447-MONOMER;;ECOL316407:JW2666-MONOMER
P69915	ECOO157:CSRA-MONOMER
P69923	N/A
P69925	ECOO157:NRDB-MONOMER
P70949	BSUB:BSU11160-MONOMER
P70974	BSUB:BSU01490-MONOMER
P70976	BSUB:BSU01510-MONOMER
P70996	BSUB:BSU37520-MONOMER
P71005	BSUB:BSU37430-MONOMER
P71012	BSUB:BSU14400-MONOMER
P71021	BSUB:BSU15420-MONOMER
P71035	BSUB:BSU36650-MONOMER
P71036	BSUB:BSU36630-MONOMER
P71051	BSUB:BSU34360-MONOMER
P71055	BSUB:BSU34320-MONOMER
P71067	BSUB:BSU34190-MONOMER
P71073	BSUB:BSU31920-MONOMER
P71083	BSUB:BSU08700-MONOMER
P71086	BSUB:BSU08730-MONOMER
P71088	BSUB:BSU08760-MONOMER
P71104	MetaCyc:ACKCLOS-MONOMER
P71447	LLAC272623:L0001-MONOMER;;MetaCyc:MONOMER-5821
P71590	MTBH37RV:G185E-4133-MONOMER
P71594	MTBH37RV:G185E-4138-MONOMER
P71599	MTBH37RV:G185E-4143-MONOMER
P71622	MTBH37RV:G185E-7081-MONOMER
P71635	MTBH37RV:G185E-7068-MONOMER
P71640	MTBH37RV:G185E-7061-MONOMER
P71658	MTBH37RV:G185E-5571-MONOMER
P71668	MTBH37RV:G185E-5583-MONOMER
P71699	MTBH37RV:G185E-4156-MONOMER
P71707	MTBH37RV:G185E-4164-MONOMER
P71737	MTBH37RV:G185E-6636-MONOMER
P71738	MTBH37RV:G185E-6635-MONOMER
P71741	MTBH37RV:G185E-6632-MONOMER
P71792	MTBH37RV:G185E-5701-MONOMER
P71890	MTBH37RV:G185E-6546-MONOMER
P71897	MTBH37RV:G185E-6539-MONOMER
P71977	MTBH37RV:G185E-5911-MONOMER
P72062	MTBH37RV:G185E-8092-MONOMER
P72151	PAER208964:G1FZ6-1115-MONOMER
P72584	MetaCyc:MONOMER-17787
P72585	N/A
P72619	N/A
P72641	N/A
P72648	N/A
P72655	N/A
P72656	N/A
P72659	N/A
P72661	N/A
P72673	N/A
P72674	N/A
P72689	N/A
P72697	N/A
P72705	N/A
P72706	N/A
P72721	N/A
P72723	N/A
P72738	N/A
P72746	N/A
P72747	N/A
P72748	N/A
P72756	N/A
P72757	N/A
P72758	N/A
P72760	N/A
P72761	N/A
P72781	N/A
P72788	N/A
P72791	N/A
P72797	N/A
P72805	N/A
P72815	N/A
P72827	N/A
P72835	N/A
P72845	N/A
P72849	MetaCyc:MONOMER-13860
P72854	N/A
P72864	N/A
P72866	N/A
P72870	N/A
P72871	N/A
P72877	N/A
P72878	N/A
P72884	N/A
P72899	N/A
P72932	N/A
P72937	N/A
P72940	N/A
P72954	N/A
P72965	N/A
P72990	N/A
P72998	N/A
P73008	N/A
P73010	N/A
P73020	N/A
P73035	N/A
P73040	N/A
P73053	N/A
P73067	N/A
P73091	N/A
P73093	N/A
P73117	N/A
P73120	N/A
P73122	N/A
P73127	N/A
P73152	N/A
P73153	N/A
P73154	N/A
P73173	N/A
P73193	N/A
P73202	N/A
P73203	N/A
P73204	N/A
P73207	N/A
P73210	N/A
P73218	N/A
P73240	N/A
P73243	N/A
P73253	N/A
P73257	N/A
P73273	N/A
P73274	N/A
P73282	N/A
P73290	N/A
P73292	N/A
P73294	N/A
P73299	N/A
P73304	N/A
P73305	N/A
P73307	N/A
P73308	N/A
P73314	N/A
P73315	N/A
P73317	N/A
P73318	N/A
P73321	N/A
P73334	N/A
P73370	N/A
P73374	N/A
P73375	N/A
P73376	N/A
P73380	N/A
P73393	N/A
P73404	N/A
P73409	N/A
P73411	N/A
P73412	N/A
P73418	N/A
P73419	N/A
P73451	N/A
P73452	N/A
P73455	N/A
P73458	N/A
P73469	N/A
P73487	N/A
P73488	N/A
P73501	N/A
P73505	N/A
P73530	N/A
P73534	N/A
P73545	N/A
P73552	N/A
P73553	N/A
P73563	N/A
P73580	N/A
P73581	N/A
P73583	N/A
P73589	N/A
P73592	N/A
P73596	N/A
P73597	N/A
P73607	N/A
P73609	N/A
P73617	N/A
P73632	N/A
P73648	N/A
P73652	N/A
P73654	N/A
P73701	N/A
P73704	N/A
P73705	N/A
P73707	N/A
P73721	N/A
P73722	N/A
P73728	N/A
P73736	N/A
P73746	N/A
P73755	N/A
P73765	N/A
P73801	N/A
P73810	N/A
P73821	N/A
P73823	N/A
P73824	MetaCyc:MONOMER-17843
P73826	N/A
P73833	N/A
P73834	N/A
P73849	N/A
P73866	N/A
P73867	N/A
P73876	N/A
P73886	N/A
P73922	MetaCyc:FBPSBP-MONOMER
P73926	N/A
P73930	N/A
P73933	N/A
P73953	N/A
P73954	N/A
P73960	N/A
P73973	N/A
P73982	N/A
P73985	N/A
P73998	N/A
P74002	N/A
P74007	N/A
P74020	N/A
P74027	N/A
P74044	N/A
P74057	N/A
P74074	N/A
P74078	N/A
P74102	N/A
P74106	N/A
P74122	N/A
P74126	N/A
P74135	N/A
P74142	N/A
P74153	N/A
P74157	N/A
P74175	N/A
P74176	N/A
P74182	N/A
P74184	N/A
P74186	N/A
P74189	N/A
P74195	N/A
P74210	N/A
P74214	N/A
P74216	N/A
P74226	N/A
P74227	N/A
P74229	N/A
P74230	N/A
P74233	N/A
P74236	N/A
P74241	N/A
P74242	N/A
P74251	N/A
P74275	N/A
P74281	N/A
P74282	N/A
P74296	N/A
P74297	N/A
P74299	N/A
P74305	N/A
P74308	N/A
P74309	N/A
P74314	N/A
P74326	N/A
P74334	MetaCyc:MONOMER-15972
P74335	N/A
P74339	N/A
P74350	N/A
P74352	N/A
P74360	N/A
P74361	N/A
P74390	N/A
P74409	N/A
P74413	N/A
P74419	N/A
P74421	N/A
P74426	N/A
P74427	N/A
P74433	N/A
P74444	N/A
P74447	N/A
P74448	N/A
P74450	N/A
P74451	N/A
P74457	N/A
P74461	N/A
P74463	N/A
P74466	N/A
P74474	N/A
P74485	N/A
P74486	N/A
P74494	N/A
P74499	N/A
P74503	N/A
P74507	N/A
P74510	N/A
P74512	N/A
P74518	N/A
P74534	N/A
P74537	N/A
P74541	N/A
P74551	N/A
P74566	N/A
P74572	N/A
P74582	N/A
P74618	N/A
P74640	N/A
P74643	N/A
P74658	N/A
P74662	N/A
P74667	N/A
P74682	N/A
P74689	N/A
P74690	N/A
P74694	N/A
P74698	N/A
P74702	N/A
P74713	N/A
P74720	N/A
P74729	N/A
P74737	N/A
P74739	N/A
P74745	N/A
P74747	N/A
P74749	N/A
P74754	N/A
P74769	N/A
P74772	N/A
P74776	N/A
P74781	N/A
P75033	MPNE272634:G1GJ3-257-MONOMER
P75039	MPNE272634:G1GJ3-122-MONOMER
P75049	MPNE272634:G1GJ3-105-MONOMER
P75050	MetaCyc:MONOMER-621;;MPNE272634:G1GJ3-103-MONOMER
P75061	MPNE272634:G1GJ3-78-MONOMER
P75080	MPNE272634:G1GJ3-48-MONOMER
P75089	MetaCyc:MONOMER-546;;MPNE272634:G1GJ3-38-MONOMER
P75090	N/A
P75093	MPNE272634:G1GJ3-31-MONOMER
P75120	MPNE272634:G1GJ3-1074-MONOMER
P75136	MPNE272634:G1GJ3-1046-MONOMER
P75159	MPNE272634:G1GJ3-1021-MONOMER
P75161	MPNE272634:G1GJ3-1019-MONOMER
P75170	MPNE272634:G1GJ3-1005-MONOMER
P75172	MPNE272634:G1GJ3-1003-MONOMER
P75187	MPNE272634:G1GJ3-983-MONOMER
P75205	MPNE272634:G1GJ3-939-MONOMER
P75206	MPNE272634:G1GJ3-937-MONOMER
P75207	MPNE272634:G1GJ3-936-MONOMER
P75223	MPNE272634:G1GJ3-911-MONOMER
P75231	MPNE272634:G1GJ3-902-MONOMER
P75245	MetaCyc:MONOMER-603;;MPNE272634:G1GJ3-879-MONOMER
P75250	MetaCyc:MONOMER-644;;MPNE272634:G1GJ3-871-MONOMER
P75258	MPNE272634:G1GJ3-853-MONOMER
P75264	MPNE272634:G1GJ3-227-MONOMER
P75271	MPNE272634:G1GJ3-845-MONOMER
P75277	N/A
P75293	MPNE272634:G1GJ3-810-MONOMER
P75301	MPNE272634:G1GJ3-792-MONOMER
P75309	MPNE272634:G1GJ3-781-MONOMER
P75310	MPNE272634:G1GJ3-778-MONOMER
P75313	MPNE272634:G1GJ3-773-MONOMER
P75344	MPNE272634:G1GJ3-701-MONOMER
P75353	MPNE272634:G1GJ3-201-MONOMER
P75354	MPNE272634:G1GJ3-198-MONOMER
P75358	MetaCyc:MONOMER-548;;MPNE272634:G1GJ3-695-MONOMER
P75359	MetaCyc:MONOMER-602;;MPNE272634:G1GJ3-692-MONOMER
P75376	MPNE272634:G1GJ3-656-MONOMER
P75386	MPNE272634:G1GJ3-630-MONOMER
P75390	MetaCyc:MONOMER-586;;MPNE272634:G1GJ3-623-MONOMER
P75393	MetaCyc:MONOMER-585;;MPNE272634:G1GJ3-617-MONOMER
P75394	MPNE272634:G1GJ3-616-MONOMER
P75426	MPNE272634:G1GJ3-556-MONOMER
P75465	MPNE272634:G1GJ3-505-MONOMER
P75469	MPNE272634:G1GJ3-498-MONOMER
P75470	MPNE272634:G1GJ3-497-MONOMER
P75482	MPNE272634:G1GJ3-463-MONOMER
P75493	MPNE272634:G1GJ3-445-MONOMER
P75497	MPNE272634:G1GJ3-440-MONOMER
P75512	MPNE272634:G1GJ3-414-MONOMER
P75518	MPNE272634:G1GJ3-403-MONOMER
P75525	MPNE272634:G1GJ3-390-MONOMER
P75526	MPNE272634:G1GJ3-389-MONOMER
P75533	N/A
P75542	MPNE272634:G1GJ3-366-MONOMER
P75543	MPNE272634:G1GJ3-365-MONOMER
P75560	MPNE272634:G1GJ3-338-MONOMER
P75569	MPNE272634:G1GJ3-335-MONOMER
P75575	N/A
P75591	MPNE272634:G1GJ3-259-MONOMER
P75691	EcoCyc:G6190-MONOMER;;ECOL316407:JW0317-MONOMER;;MetaCyc:G6190-MONOMER
P75694	EcoCyc:G6194-MONOMER;;ECOL316407:JW0321-MONOMER
P75736	EcoCyc:EG11776-MONOMER;;ECOL316407:JW0673-MONOMER
P75809	EcoCyc:G6442-MONOMER;;ECOL316407:JW5113-MONOMER;;MetaCyc:G6442-MONOMER
P75818	EcoCyc:G6450-MONOMER;;ECOL316407:JW0849-MONOMER
P75821	EcoCyc:G6453-MONOMER;;ECOL316407:JW5819-MONOMER
P75949	EcoCyc:G6567-MONOMER;;ECOL316407:JW1093-MONOMER;;MetaCyc:G6567-MONOMER
P76001	EcoCyc:G6614-MONOMER;;ECOL316407:JW1166-MONOMER
P76014	EcoCyc:MONOMER0-1261;;ECOL316407:JW5186-MONOMER;;MetaCyc:MONOMER0-1261
P76015	EcoCyc:G6627-MONOMER;;ECOL316407:JW5187-MONOMER;;MetaCyc:G6627-MONOMER
P76072	EcoCyc:G6695-MONOMER;;ECOL316407:JW1366-MONOMER
P76143	EcoCyc:G6804-MONOMER;;ECOL316407:JW1510-MONOMER;;MetaCyc:G6804-MONOMER
P76182	EcoCyc:G6874-MONOMER;;ECOL316407:JW1622-MONOMER
P76194	EcoCyc:G6905-MONOMER;;ECOL316407:JW1669-MONOMER;;MetaCyc:G6905-MONOMER
P76268	EcoCyc:G7003-MONOMER;;ECOL316407:JW1816-MONOMER
P76290	EcoCyc:G7020-MONOMER;;ECOL316407:JW1859-MONOMER;;MetaCyc:G7020-MONOMER
P76387	EcoCyc:G7105-MONOMER;;ECOL316407:JW2045-MONOMER;;MetaCyc:G7105-MONOMER
P76396	EcoCyc:G7112-MONOMER;;ECOL316407:JW2058-MONOMER
P76398	EcoCyc:B2075-MONOMER;;ECOL316407:JW2060-MONOMER;;MetaCyc:B2075-MONOMER
P76402	EcoCyc:G7117-MONOMER;;ECOL316407:JW5339-MONOMER
P76536	EcoCyc:G7266-MONOMER;;ECOL316407:JW2424-MONOMER;;MetaCyc:G7266-MONOMER
P76541	EcoCyc:G7271-MONOMER;;ECOL316407:JW2432-MONOMER
P76552	EcoCyc:G7282-MONOMER;;ECOL316407:JW2436-MONOMER
P76558	EcoCyc:MALIC-NADP-MONOMER;;ECOL316407:JW2447-MONOMER;;MetaCyc:MALIC-NADP-MONOMER
P76576	EcoCyc:G7321-MONOMER;;ECOL316407:JW2497-MONOMER
P77172	EcoCyc:G7314-MONOMER;;ECOL316407:JW2488-MONOMER;;MetaCyc:G7314-MONOMER
P77173	EcoCyc:G7258-MONOMER;;ECOL316407:JW2404-MONOMER
P77285	EcoCyc:G6875-MONOMER;;ECOL316407:JW1623-MONOMER
P77318	EcoCyc:G6788-MONOMER;;ECOL316407:JW5243-MONOMER
P77365	EcoCyc:G6126-MONOMER;;ECOL316407:JW0240-MONOMER
P77376	EcoCyc:G6868-MONOMER;;ECOL316407:JW5265-MONOMER
P77395	EcoCyc:G6268-MONOMER;;ECOL316407:JW5067-MONOMER
P77402	EcoCyc:G6919-MONOMER;;ECOL316407:JW1686-MONOMER
P77504	EcoCyc:YBBP-MONOMER;;ECOL316407:JW0485-MONOMER
P77510	EcoCyc:G6345-MONOMER;;ECOL316407:JW0611-MONOMER
P77522	EcoCyc:G6909-MONOMER;;ECOL316407:JW5273-MONOMER
P77552	EcoCyc:G6894-MONOMER;;ECOL316407:JW1656-MONOMER
P77554	EcoCyc:G6189-MONOMER;;ECOL316407:JW0316-MONOMER
P77598	EcoCyc:G6313-MONOMER;;ECOL316407:JW5081-MONOMER
P77625	EcoCyc:G7187-MONOMER;;ECOL316407:JW5376-MONOMER;;MetaCyc:G7187-MONOMER
P77627	EcoCyc:G6352-MONOMER;;ECOL316407:JW0640-MONOMER
P77650	EcoCyc:HCAD-MONOMER;;ECOL316407:JW2526-MONOMER;;MetaCyc:HCAD-MONOMER
P77674	EcoCyc:G6755-MONOMER;;ECOL316407:JW1439-MONOMER;;MetaCyc:G6755-MONOMER
P77756	EcoCyc:G6245-MONOMER;;ECOL316407:JW0434-MONOMER;;MetaCyc:G6245-MONOMER
P77804	EcoCyc:G6865-MONOMER;;ECOL316407:JW1606-MONOMER
P77961	N/A
P77962	N/A
P77965	N/A
P77968	N/A
P77970	N/A
P77972	N/A
P77973	N/A
P78010	MetaCyc:MONOMER-547;;MPNE272634:G1GJ3-1010-MONOMER
P78012	MPNE272634:G1GJ3-938-MONOMER
P78018	MetaCyc:MONOMER-549;;MPNE272634:G1GJ3-693-MONOMER
P78022	MPNE272634:G1GJ3-555-MONOMER
P78027	MPNE272634:G1GJ3-515-MONOMER
P78028	MetaCyc:MONOMER-579;;MPNE272634:G1GJ3-512-MONOMER
P78032	MPNE272634:G1GJ3-410-MONOMER
P78285	EcoCyc:G6310-MONOMER;;ECOL316407:JW0544-MONOMER;;MetaCyc:G6310-MONOMER
P80046	N/A
P80239	BSUB:BSU40090-MONOMER
P80240	BSUB:BSU27320-MONOMER
P80244	BSUB:BSU34540-MONOMER
P80505	N/A
P80507	N/A
P80643	BSUB:BSU15920-MONOMER
P80698	BSUB:BSU28230-MONOMER
P80700	BSUB:BSU16500-MONOMER
P80858	BSUB:BSU28260-MONOMER
P80859	BSUB:BSU23860-MONOMER;;MetaCyc:MONOMER-6842
P80860	BSUB:BSU31350-MONOMER
P80865	BSUB:BSU16100-MONOMER
P80866	BSUB:BSU32710-MONOMER
P80868	BSUB:BSU01120-MONOMER
P80870	BSUB:BSU31390-MONOMER
P80871	BSUB:BSU35990-MONOMER
P80875	BSUB:BSU02900-MONOMER
P80877	BSUB:BSU13180-MONOMER;;MetaCyc:MONOMER-14559
P80879	BSUB:BSU30650-MONOMER
P80885	BSUB:BSU29180-MONOMER
P80886	BSUB:BSU16090-MONOMER
P80918	N/A
P80920	N/A
P80921	N/A
P80922	N/A
P80923	PSYR223283:G1G0D-3896-MONOMER
P81100	BSUB:BSU02890-MONOMER
P81101	BSUB:BSU16520-MONOMER
P81102	BSUB:BSU19550-MONOMER
P81181	LLAC272623:L0012-MONOMER;;MetaCyc:MONOMER-13046
P94335	CORYNE:G18NG-11749-MONOMER;;GCF_000196335:G1EEA-2126-MONOMER
P94360	BSUB:BSU38810-MONOMER
P94364	BSUB:BSU38760-MONOMER
P94400	BSUB:BSU03360-MONOMER
P94409	BSUB:BSU03680-MONOMER
P94417	BSUB:BSU03790-MONOMER;;MetaCyc:MONOMER-6563
P94425	BSUB:BSU03870-MONOMER
P94459	BSUB:BSU18310-MONOMER
P94521	BSUB:BSU28820-MONOMER
P94534	BSUB:BSU28690-MONOMER
P94538	BSUB:BSU28650-MONOMER
P94547	BSUB:BSU28560-MONOMER
P94549	BSUB:BSU28540-MONOMER
P94565	BSUB:BSU28280-MONOMER
P94592	BSUB:BSU36290-MONOMER
P94996	MTBH37RV:G185E-5851-MONOMER
P95017	MTBH37RV:G185E-6775-MONOMER
P95029	MetaCyc:G185E-6762-MONOMER;;MTBH37RV:G185E-6762-MONOMER
P95032	MTBCDC1551:GT3Z-5029-MONOMER
P95034	MTBH37RV:G185E-4831-MONOMER
P95087	MTBH37RV:G185E-7333-MONOMER
P95090	MTBCDC1551:GT3Z-7637-MONOMER
P95125	MTBH37RV:G185E-7224-MONOMER
P95137	MetaCyc:G185E-7209-MONOMER;;MTBH37RV:G185E-7209-MONOMER
P95144	MTBH37RV:G185E-6066-MONOMER
P95172	MTBH37RV:G185E-7419-MONOMER
P95185	MTBH37RV:G185E-7406-MONOMER
P95186	MTBH37RV:G185E-7405-MONOMER
P95189	MTBH37RV:G185E-7402-MONOMER
P95197	MTBH37RV:G185E-4513-MONOMER
P95217	MTBH37RV:G185E-4382-MONOMER
P95225	MTBH37RV:G185E-4390-MONOMER
P95257	MTBH37RV:G185E-6155-MONOMER
P95290	MTBH37RV:G185E-6120-MONOMER
P95690	SACI330779:G1G4L-1502-MONOMER
P95691	SACI330779:G1G4L-674-MONOMER
P95867	SSOL273057:G1FZF-2304-MONOMER
P95871	N/A
P95879	N/A
P95907	SSOL273057:G1FZF-2369-MONOMER
P95931	SSOL273057:G1FZF-2395-MONOMER
P95949	SSOL273057:G1FZF-112-MONOMER
P95957	SSOL273057:G1FZF-106-MONOMER
P95968	N/A
P95970	N/A
P95979	SSOL273057:G1FZF-84-MONOMER
P95980	N/A
P95991	SSOL273057:G1FZF-74-MONOMER
P96041	SSOL273057:G1FZF-348-MONOMER
P96076	TTHE262724:G1G0N-1403-MONOMER
P96217	MTBH37RV:G185E-8158-MONOMER
P96218	MTBH37RV:G185E-8157-MONOMER
P96258	MTBH37RV:G185E-4537-MONOMER
P96267	MTBH37RV:G185E-4546-MONOMER
P96270	MTBH37RV:G185E-4549-MONOMER
P96271	MTBH37RV:G185E-4550-MONOMER
P96284	MTBH37RV:G185E-7201-MONOMER
P96285	MTBH37RV:G185E-7200-MONOMER
P96288	MTBCDC1551:GT3Z-7488-MONOMER
P96291	MTBCDC1551:GT3Z-7483-MONOMER
P96353	MTBH37RV:G185E-5208-MONOMER
P96356	MTBH37RV:G185E-5205-MONOMER
P96374	MTBH37RV:G185E-5185-MONOMER
P96396	MTBH37RV:G185E-4334-MONOMER
P96399	MTBH37RV:G185E-4337-MONOMER
P96404	MTBH37RV:G185E-4342-MONOMER
P96409	MTBH37RV:G185E-4347-MONOMER
P96502	BSUB:BSU35390-MONOMER
P96585	BSUB:BSU04280-MONOMER
P96596	BSUB:BSU04390-MONOMER
P96611	BSUB:BSU04550-MONOMER
P96613	BSUB:BSU04570-MONOMER
P96615	BSUB:BSU04590-MONOMER
P96619	BSUB:BSU04630-MONOMER
P96625	BSUB:BSU04770-MONOMER
P96679	BSUB:BSU05350-MONOMER
P96683	BSUB:BSU05390-MONOMER
P96686	BSUB:BSU05420-MONOMER
P96692	BSUB:BSU05480-MONOMER
P96701	BSUB:BSU05580-MONOMER
P96716	BSUB:BSU36250-MONOMER
P96718	BSUB:BSU36230-MONOMER
P96722	BSUB:BSU36190-MONOMER
P96805	MTBH37RV:G185E-4245-MONOMER
P96812	MTBH37RV:G185E-4252-MONOMER
P96824	MTBH37RV:G185E-4264-MONOMER
P96868	MTBH37RV:G185E-7537-MONOMER
P96872	MTBH37RV:G185E-7541-MONOMER
P96874	MTBH37RV:G185E-7543-MONOMER
P96876	MTBH37RV:G185E-7545-MONOMER
P96877	MTBH37RV:G185E-7546-MONOMER
P96878	MTBH37RV:G185E-7547-MONOMER
P96890	MetaCyc:G185E-7559-MONOMER;;MTBH37RV:G185E-7559-MONOMER
P96923	MTBH37RV:G185E-4771-MONOMER
P97152	N/A
P99175	SAUR158879:G1G21-1772-MONOMER
P9WF13	MTBH37RV:G185E-7661-MONOMER
P9WF14	MTBCDC1551:GT3Z-7763-MONOMER
P9WF15	MTBH37RV:G185E-7446-MONOMER
P9WF19	MTBH37RV:G185E-4764-MONOMER
P9WF23	MTBH37RV:G185E-7684-MONOMER
P9WF27	MTBH37RV:G185E-5558-MONOMER
P9WF29	MTBH37RV:G185E-5272-MONOMER
P9WF45	MTBH37RV:G185E-5606-MONOMER
P9WFB1	MTBH37RV:G185E-4808-MONOMER
P9WFC9	MTBH37RV:G185E-5825-MONOMER
P9WFD3	MTBH37RV:G185E-7398-MONOMER
P9WFD7	MTBH37RV:G185E-6867-MONOMER
P9WFD9	MTBH37RV:G185E-6231-MONOMER
P9WFG2	MTBCDC1551:GT3Z-6274-MONOMER
P9WFG3	MTBH37RV:G185E-6020-MONOMER
P9WFG9	MTBH37RV:G185E-4962-MONOMER
P9WFH5	MTBH37RV:G185E-8058-MONOMER
P9WFH7	MTBH37RV:G185E-6093-MONOMER
P9WFI4	MTBCDC1551:GT3Z-5079-MONOMER
P9WFI5	MTBH37RV:G185E-4876-MONOMER
P9WFK0	MTBCDC1551:GT3Z-4976-MONOMER
P9WFK9	MTBH37RV:G185E-4699-MONOMER
P9WFL3	MTBH37RV:G185E-7460-MONOMER
P9WFM7	MTBH37RV:G185E-7160-MONOMER
P9WFN1	MTBH37RV:G185E-6346-MONOMER
P9WFQ0	MTBCDC1551:GT3Z-6349-MONOMER
P9WFQ1	MTBH37RV:G185E-6095-MONOMER
P9WFR1	MetaCyc:G185E-7212-MONOMER;;MTBH37RV:G185E-7212-MONOMER
P9WFS2	MTBCDC1551:GT3Z-5923-MONOMER
P9WFS3	MTBH37RV:G185E-5676-MONOMER
P9WFW9	MTBH37RV:G185E-7486-MONOMER
P9WFX5	MTBH37RV:G185E-6402-MONOMER
P9WFX7	MTBH37RV:G185E-5799-MONOMER
P9WFZ1	MTBH37RV:G185E-6324-MONOMER
P9WFZ7	MTBH37RV:G185E-5455-MONOMER
P9WG05	MTBH37RV:G185E-5084-MONOMER
P9WG17	MTBH37RV:G185E-4187-MONOMER
P9WG33	MTBH37RV:G185E-5631-MONOMER
P9WG38	MTBCDC1551:GT3Z-6269-MONOMER
P9WG39	MTBH37RV:G185E-6015-MONOMER
P9WG45	MTBH37RV:G185E-4116-MONOMER
P9WG47	MTBH37RV:G185E-4117-MONOMER
P9WG48	MTBCDC1551:GT3Z-8276-MONOMER
P9WG49	MTBH37RV:G185E-7926-MONOMER
P9WG74	MTBCDC1551:GT3Z-4732-MONOMER
P9WG75	MTBH37RV:G185E-4539-MONOMER
P9WG86	MTBCDC1551:GT3Z-5657-MONOMER
P9WG87	MTBH37RV:G185E-5421-MONOMER
P9WGA0	MTBCDC1551:GT3Z-6567-MONOMER
P9WGA1	MTBH37RV:G185E-6300-MONOMER
P9WGC3	MTBH37RV:G185E-7558-MONOMER
P9WGC7	MetaCyc:G185E-5107-MONOMER;;MTBH37RV:G185E-5107-MONOMER
P9WGD5	MTBH37RV:G185E-4168-MONOMER
P9WGD8	MTBCDC1551:GT3Z-7462-MONOMER
P9WGD9	MTBH37RV:G185E-7173-MONOMER
P9WGE1	MTBH37RV:G185E-7972-MONOMER
P9WGE7	MTBH37RV:G185E-8144-MONOMER
P9WGF2	N/A
P9WGF3	MTBH37RV:G185E-7174-MONOMER
P9WGF9	MTBH37RV:G185E-5448-MONOMER
P9WGG5	MTBH37RV:G185E-4300-MONOMER
P9WGH8	N/A
P9WGH9	MTBH37RV:G185E-7495-MONOMER
P9WGI1	MTBH37RV:G185E-6951-MONOMER
